gm_candidate_id,name,city,country,recommendation,likely_already_michelin_starred,reason
gm_013,Pic (Anne-Sophie Pic),Valence,France,READY_TO_ADD,likely,"Full address + official website present (anne-sophie-pic.com). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason. Also: normalize the display name to 'Pic' before insertion (the '(Anne-Sophie Pic)' suffix is a GM-source formatting artifact, not the restaurant's own name -- this is the same restaurant flagged during the original name-matching false-positive catch against an unrelated Paris restaurant called 'Anne')."
gm_015,Épicure - Le Bristol Paris,Paris,France,READY_TO_ADD,likely,"Full address + official website present (oetkerhotels.com). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_016,Restaurant Christopher Coutanceau,La Rochelle,France,READY_TO_ADD,likely,"Full address + official website present (christophercoutanceau.com). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_017,"Bras, Le Suquet",Laguiole,France,READY_TO_ADD,likely,"Full address + official website present (bras.fr). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_018,Le Neuvième Art,Lyon,France,READY_TO_ADD,likely,"No address collected, but official website present (leneuviemeart.com), from which an address can be obtained before insertion. Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_030,Azurite,Delft,Netherlands,READY_TO_ADD,unsure,"Full address + official website present (restaurantazurite.nl). Current Michelin status not confidently known -- verify either way before choosing inclusion_reason; this is the strongest genuine Gault&Millau-only candidate in the whole list if it turns out not to hold a Michelin star."
gm_036,L'air du temps,Eghezée (Liernu),Belgium,READY_TO_ADD,likely,"Full address + official website present (airdutemps.be). Widely known as a current 2-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_037,The Jane,Antwerpen,Belgium,READY_TO_ADD,likely,"Full address + official website present (thejaneantwerp.com). Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_039,Arabelle Meirlaen,Marchin,Belgium,READY_TO_ADD,likely,"Full address + official website present (arabelle.be). Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_045,Slagmolen,Oudsbergen,Belgium,READY_TO_ADD,likely,"Full address + official website present (slagmolen.be). Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_056,"The Restaurant, The Dolder Grand",Zürich,Switzerland,READY_TO_ADD,likely,"Full address + official website present (thedoldergrand.com). Widely known as a current 3-star Michelin restaurant (Heiko Nieder) -- verify before choosing inclusion_reason."
gm_058,Domaine de Châteauvieux,Satigny,Switzerland,READY_TO_ADD,likely,"Full address + official website present (chateauvieux.ch). Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_014,Passédat - Le Petit Nice,Marseille,France,NEEDS_REVIEW,likely,"Address incomplete -- only postal code/city captured, no street ('13007 Marseille (street not found)'), no website. Insufficient identity anchor to safely geocode a new catalogue row as-is; a human should complete the address (and check Michelin status -- widely known as a current 3-star restaurant) before this becomes READY_TO_ADD."
gm_019,"Une Table, au Sud",Marseille,France,NEEDS_REVIEW,unsure,"Address incomplete -- only postal code/city captured, no street ('13002 Marseille (street not found)'), no website. Insufficient identity anchor to safely geocode a new catalogue row as-is."
gm_050,Martino,Gent,Belgium,NEEDS_REVIEW,no,"No address, no website collected -- but this is the confirmed 2026 H!P of the Year winner (see research_netherlands_belgium.md), a genuinely notable Belgium-only recognition with no Michelin overlap expected. Worth a dedicated follow-up address/website lookup rather than dropping -- not enough identity information to add as-is."
gm_047,Comme chez Soi,Bruxelles,Belgium,DO_NOT_ADD,unsure,"No address, no website collected. A long-established Brussels institution, but this dataset carries zero identity-anchoring data beyond name+city -- do not add on name recognition alone; if this is wanted, re-collect address/website from an authoritative source first, which is a new research pass, not a review-time judgment call."
gm_049,La Paix,Bruxelles (Anderlecht),Belgium,DO_NOT_ADD,unsure,"No address, no website collected. No identity-anchoring data beyond name+city -- do not add without a dedicated re-collection pass."
gm_060,Des Trois Tours,Fribourg-Bourguillon,Switzerland,DO_NOT_ADD,unsure,"No address, no website collected. No identity-anchoring data beyond name+city -- do not add without a dedicated re-collection pass."
gm_085,Gourmet Restaurant Hubert Wallner,Dellach-Wörthersee,Austria,DO_NOT_ADD,unsure,"No address, no website collected. No identity-anchoring data beyond name+city -- do not add without a dedicated re-collection pass."
