ma_id,qa_id,entity_type,entity_code,entity_name,field,current_value,proposed_value,evidence_source,evidence_note,confidence,match_method,status,source_row_ref
MA-069,QA-178,restaurant,rest_0022,Chateau Neercanne,latitude,"50.828","50.818737","en.wikipedia.org/wiki/Château_Neercanne (gives coordinates ""50°49′7.98″N 5°40′4.55″E"" = 50.8188833°N, 5.6679306°E, matching hotel_13's stored value to within ~10 m)","NEW FINDING, independent of the address question above: rest_0022 and hotel_13 share the identical google_place_id (ChIJueerN-LowEcRt2mMhYhmkvk) yet store different coordinates roughly 1.7 km apart. Since the project has already ""Ratified"" that one Place ID legitimately covers both rows, they must share one coordinate pair. Wikipedia's independently sourced figure matches hotel_13's stored latitude almost exactly, confirming hotel_13 is correct and rest_0022 is the outlier that needs fixing.",high,code_exact,proposed,supabase/data/restaurants_master.csv row restaurant_code=rest_0022 (latitude column)
MA-069,QA-178,restaurant,rest_0022,Chateau Neercanne,longitude,"5.6882","5.667403","en.wikipedia.org/wiki/Château_Neercanne (same citation as latitude row above)","Same finding as the latitude row: matches hotel_13's stored longitude to within ~10 m; rest_0022's current value is roughly 1.7 km off despite sharing hotel_13's exact Place ID.",high,code_exact,proposed,supabase/data/restaurants_master.csv row restaurant_code=rest_0022 (longitude column)
MA-070,QA-179,restaurant,rest_0374,Flores Raras,address,"Carrer de Correus 8, 46002 València","no change – confirmed correct (optionally append floor: ""Carrer de Correus 8, 1º, 46002 València"")","floresraras.com/en/home/ (official restaurant site: ""8, Correos st, 1st floor, Valencia""); quiquedacosta.es press release (""8 Correos Street, 1st floor – 46002 – Valencia (Spain)"")","Two independent primary sources – the restaurant's own site and its parent group's official press release – both confirm house number 8, not 43. MA-070's claimed MICHELIN card reading of ""Correos 43-1º"" is contradicted by both. Recommend no change to the street/number; optionally append the floor designation ""1º"" which is present on the official site but missing from the stored string. No change to latitude/longitude/google_place_id needed.",high,code_exact,rejected,supabase/data/restaurants_master.csv row restaurant_code=rest_0374 (address column)
MA-048,QA-085,hotel,hotel_460,Terra - The Magic Place,google_place_id,"ChIJI0PeyImjgkcRar4w7mUaHAo","unable to verify – no independent hotel-only Place ID found","Internal cross-check only: supabase/data/restaurants_master.csv row restaurant_code=rest_0419 (Terra The Magic Place restaurant) stores the identical google_place_id AND identical coordinates as hotel_460","Confirms MA-048's suspicion for this property: the ""hotel"" Place ID is literally the same record as the restaurant's, strongly implying Google's listing is typed as the restaurant, not the accommodation. No alternate hotel-specific Place ID could be located via WebSearch (this workspace has no Google Places API access to check the `types` field directly). Needs a human reviewer with Maps/Places access.",medium,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_460 (google_place_id column)
MA-048,QA-085,hotel,hotel_480,Atrio Restaurante Hotel,google_place_id,"ChIJm1JTpdbfFQ0Rv2Lf-opFjX0","unable to verify – no independent hotel-only Place ID found","Internal cross-check: supabase/data/restaurants_master.csv row restaurant_code=rest_0350 (Atrio restaurant) stores the identical google_place_id and identical coordinates as hotel_480; corroborates the project's own QA-085 (""Atrio Cáceres"" returns types fine_dining_restaurant and bar – no hotel type)","Same pattern as Terra above. The single-building, single-Place-ID situation may simply be how Google models this property (Atrio is one address combining a 3-star restaurant and a 3-Key hotel) rather than a fixable error – but this cannot be confirmed without Places API access.",medium,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_480 (google_place_id column)
MA-048,QA-085,hotel,hotel_537,ABaC Restaurant & Hotel,google_place_id,"ChIJjZxWjQ-YpBIR_xbBOD9lZ1k","unable to verify – no independent hotel-only Place ID found","Internal cross-check: supabase/data/restaurants_master.csv row restaurant_code=rest_0002 (ABAC restaurant) stores the identical google_place_id","Same shared-ID pattern as Terra/Atrio above, but see the separate coordinate-mismatch finding below – unlike Terra/Atrio, hotel_537 and rest_0002 do NOT store identical coordinates despite the identical Place ID, which needs its own resolution first.",medium,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_537 (google_place_id column)
MA-048,QA-085,pair,hotel_537 + rest_0002,ABaC Restaurant & Hotel / ABAC,latitude+longitude,"hotel_537: 41.410635,2.136359 -vs- rest_0002: 41.4145,2.1344 (identical shared place_id ChIJjZxWjQ-YpBIR_xbBOD9lZ1k)","unable to verify which pair is correct","No independent source with precise coordinates for Avinguda del Tibidabo 1, Barcelona was found via WebSearch/WebFetch in this session","NEW FINDING, same bug pattern as the hotel_13/rest_0022 Château Neercanne case: two rows sharing one google_place_id should not store two coordinate pairs roughly 460 m apart. Flagged for a fresh Places lookup; not resolved here because guessing which pair is right would risk fabricating a coordinate.",low,code_exact,unresolved,"supabase/data/hotels_master.csv row hotel_code=hotel_537, and supabase/data/restaurants_master.csv row restaurant_code=rest_0002 (latitude/longitude columns)"
MA-048,QA-085,hotel,,Grand Hotel a Villa Feltrinelli (hotel side),google_place_id,"(no hotel_master row exists)","no new row needed – already resolved as a non-Key property","supabase/data/qa_issues.csv row QA-095 (""Neither hotel holds a MICHELIN Key so neither is in the hotel table""); supabase/data/venues_to_check.csv row W019 (status: ""Resolved - non-Key property"")","CORRECTION TO MA-048's OWN FRAMING: MA-048 lists ""Villa Feltrinelli (hotel side)"" as one of the 9 properties needing a hotel Place ID check, implying a hotel_master row should exist. It does not, and per the project's own QA-095/W019 determination, it should not – Grand Hotel a Villa Feltrinelli does not hold a MICHELIN Key, so it is correctly excluded from hotels_master under the project's hotel-scope rule (QA-180). rest_0403 already stores property_name=""Grand Hotel a Villa Feltrinelli"" as contextual metadata with located_in_hotel=true and no hotel row/link, which is the correct treatment. No action required.",high,code_exact,rejected,"n/a – confirms existing project resolution (QA-095, venues_to_check.csv row W019)"
MA-048,QA-085,hotel,hotel_136,Walch's Rote Wand Gourmet Hotel,google_place_id,"ChIJ__6lUQCnnEcRrSEW6JsST_0","no change – likely correct, evidence does not support the suspicion","Internal cross-check: supabase/data/restaurants_master.csv row restaurant_code=rest_0271 (Rote Wand Chef's Table) stores a DIFFERENT google_place_id (ChIJr9qNfEWnnEcRzDK3g7iDYhs) and a different building number (Zug 6 vs the hotel's Zug 5); supabase/data/hotel_restaurant_links.csv row link_0029 already documents this as an ""Exact"" link on that basis; supabase/data/venues_to_check.csv row W066 status = ""Approved - Exact""","Unlike Terra/Atrio/ABaC above, Rote Wand's hotel and restaurant are already distinguished by separate Place IDs and separate building numbers in our own data, and the project has already approved that distinction. No internal evidence supports MA-048's suspicion for this specific property.",medium,code_exact,rejected,supabase/data/hotels_master.csv row hotel_code=hotel_136 (google_place_id column)
MA-048,QA-085,hotel,hotel_116,Seesteg Norderney,google_place_id,"ChIJdVN7v08FtkcROqcuWm_SFJg","unable to verify","seesteg-norderney.de (official site); confirms address ""Damenpfad 36a, 26548 Norderney"" matches stored data","The Michelin-starred restaurant inside this hotel (also called ""Seesteg"") has not been separately catalogued (no rest_xxxx row), so no internal cross-check is possible the way it was for Terra/Atrio/Rote Wand. Address is confirmed correct; whether the Place ID types as lodging vs. restaurant/spa could not be checked without Places API access.",low,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_116 (google_place_id column)
MA-048,QA-085,hotel,hotel_250,Widmann's Löwen,google_place_id,"ChIJyYwENOQQmUcR26ZAHxoFPjo","unable to verify","widmanns-albleben.de (official site); confirms address ""Struthstraße 17, Königsbronn-Zang"" matches stored data","The Michelin-starred restaurant here is named ""ursprung"" and is not separately catalogued. Same limitation as Seesteg above – address confirmed, Place ID type unverified.",low,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_250 (google_place_id column)
MA-048,QA-085,hotel,hotel_287,L'Ovella Negra Mountain,google_place_id,"ChIJ73fKEyVjrxIRBwLHrLTQd6k","unable to verify","lovellanegra.com (official site); confirms this is a genuine 4-room boutique lodge in Canillo, Andorra, with an on-site restaurant/bar not separately catalogued","Address/identity confirmed correct; Place ID type (lodging vs. restaurant) unverified without Places API access.",low,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_287 (google_place_id column)
MA-048,QA-085,hotel,hotel_315,Quadrille,google_place_id,"ChIJm-3nw5Wg_UYRlZOqkN8Vbo8","unable to verify","relaischateaux.com/us/poland/quadrille-gdynia; quadrille.pl/en (official hotel site, ""ul. Folwarczna 2, 81-547 Gdynia"", matching stored data exactly)","CORRECTION TO MA-048's OWN FRAMING: the manual-action note speculates ""Quadrille (Spain — likely Atrio-adjacent)"". This is factually wrong. hotel_315 Quadrille is a genuine, unrelated Relais & Châteaux property in Gdynia, POLAND, with its own on-site restaurant (""Quadrille Restaurant""/""The White Rabbit Restaurant""). It has no connection whatsoever to Atrio or Spain. Country and address in our master data are already correct; only the original Place-ID-type question (does it resolve to the hotel or its restaurant) remains genuinely open and unverified.",low,code_exact,unresolved,supabase/data/hotels_master.csv row hotel_code=hotel_315 (google_place_id column)
MA-046,QA-112,restaurant,rest_0452,L'Atelier de Joël Robuchon,address,"Shop 401 & 415, 4/F, The Landmark, 15 Queen's Road Central, Central, Hong Kong","Shops 403-410, 4/F, The Landmark, 15 Queen's Road Central, Central, Hong Kong","landmark.hk/en/dine/latelier-de-joel-robuchon (official Landmark tenant directory); jrobuchon.com/our_locations/latelier-et-le-jardin-de-joel-robuchon-hongkong (group site distinguishes L'Atelier at Shops 403-410 from the sibling Le Jardin de Joël Robuchon at Shop 401)","The stored address currently splices together ""Shop 401"" – which the Landmark's own site attributes to the separate sibling concept Le Jardin de Joël Robuchon – with ""415"". This is consistent with MA-046's suspicion of an address/identity conflation between the two concepts. The google_place_id may also need re-verification for the same reason (see next row); not confirmed here.",medium,code_exact,proposed,supabase/data/restaurants_master.csv row restaurant_code=rest_0452 (address column)
MA-046,QA-112,restaurant,rest_0452,L'Atelier de Joël Robuchon,google_place_id,"ChIJwVykxpIABDQR1MZ-gH1ykQk","unable to verify","n/a – no Google Places API access","Given the address conflation found above, the stored Place ID plausibly resolves to a combined or wrong listing, but this cannot be confirmed without a live Places lookup.",low,code_exact,unresolved,supabase/data/restaurants_master.csv row restaurant_code=rest_0452 (google_place_id column)
MA-046,QA-112,restaurant,rest_0451,Lai Ching Heen,identity/address,"Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong","no change – confirmed to be one restaurant, not a merged identity","scmp.com/magazines/good-eating/article/3219518 (South China Morning Post: ""the restaurant opened in 1984 as Lai Ching Heen, became Yan Toh Heen during the InterContinental Hong Kong years, before returning to the Lai Ching Heen name when the hotel reverted to Regent""); hongkong.regenthotels.com/dining-destination/lai-ching-heen","MA-046's concern was that ""Lai Ching Heen (Yan Toh Heen)"" merges two restaurant identities. Reputable press confirms this is a SINGLE restaurant with a name history tied to the hotel's own brand changes (Regent → InterContinental → Regent), not two distinct venues. The stored address (18 Salisbury Road) and google_place_id are for the one restaurant that has always occupied that space. Recommend no change.",high,code_exact,rejected,supabase/data/restaurants_master.csv row restaurant_code=rest_0451 (no column change)
MA-045,QA-109,restaurant,,The Huaiyang Garden,new_row:address,"(not in catalogue)","2/F (Shop 2206A & 2208), The Londoner Macao, Estrada do Istmo, Coloane-Taipa, Macau","en.sandsresortsmacao.com/sands-lifestyle/press-release/2024-03-14/the-huaiyang-garden-only-newly-awarded-two-michelin-star-restaurant.html (official Sands Resorts Macao press release); openrice.com listing (""The Huaiyang Garden - Huaiyang in Coloane-Taipa The Londoner Macao Macau""); londonermacao.com/macau-restaurants/huaiyang-garden.html (official Londoner Macao site); us.trip.com listing giving ""2/F, The Londoner Macao, Estrada do Istmo, Coloane-Taipa, Macau""","MAJOR CORRECTION to MA-045's own framing: the note assumes The Huaiyang Garden is ""a different restaurant at the same [Grand Lisboa Palace] resort"" as Palace Garden. This is wrong. The Huaiyang Garden is at an entirely different resort – The Londoner Macao (a Sands China property) – while Palace Garden is at Grand Lisboa Palace. They are not sibling restaurants at the same address; the search engine confusion was almost certainly driven by name/cuisine similarity ('Garden'), not shared location. Four independent sources (Sands' own press release, OpenRice, the Londoner Macao's own site, Trip.com) agree on the Londoner Macao location.",high,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – currently listed in macau_pending_lookup.csv per MA-045)
MA-045,QA-109,restaurant,,The Huaiyang Garden,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a – no Google Places API access","Exact coordinates/Place ID for the specific 2/F shop unit within The Londoner Macao were not located via WebSearch/WebFetch. Left unresolved rather than guessed from the resort's general location.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-054,QA-144,hotel,,Atami Izusan Karaku,new_row:address,"(not in catalogue)","630-1 Izusan, Atami, Shizuoka 413-0002, Japan","ikyu.com/en-us/00003103 (booking listing); guide.michelin.com hotel-selection search snippet corroborates the name/location as a 1-Michelin-Key ryokan in Atami","Address corroborated by a major Japanese booking platform; not independently confirmed by the operator's own site, so kept at medium confidence. Confirms this is a distinct property from the wrongly-returned ""Tokyu Harvest Club Atami Izusan & VIALA"".",medium,code_plus_country,proposed,supabase/data/hotels_master.csv (new row – no hotel_code assigned yet)
MA-054,QA-144,hotel,,Atami Izusan Karaku,new_row:michelin_keys,"(not in catalogue)","1","supabase/data/venues_to_check.csv row W008 (""Atami Izusan Karaku, Atami, Japan, 1 Key"")","Key count already established by the project's own prior research; repeated here only so the new row can be created with a complete field set.",high,code_plus_country,proposed,supabase/data/hotels_master.csv (new row)
MA-054,QA-144,hotel,,Atami Izusan Karaku,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a – no Google Places API access","Left unresolved rather than guessed.",low,name_proposed_unconfirmed,unresolved,supabase/data/hotels_master.csv (new row)
MA-054,QA-144,hotel,,Kinugawa Keisui,new_row:address,"(not in catalogue)","unable to verify – general area confirmed as Kinugawa Onsen, Nikko, Tochigi Prefecture, Japan","travel.rakuten.com hotel listing and several booking aggregators (Tablet Hotels, LateRooms, Booking.com) confirm the property and general area but none surfaced a precise street/lot address in the fetched snippets","Could not locate a verifiable exact street address for this property via WebSearch/WebFetch in this session. Confirmed as a distinct 10-room modern-ryokan property from the wrongly-returned ""Tokyu Harvest Club VIALA Kinugawakeisui"", but exact address left unresolved rather than guessed.",low,name_proposed_unconfirmed,unresolved,supabase/data/hotels_master.csv (new row)
MA-054,QA-144,hotel,,Kinugawa Keisui,new_row:michelin_keys,"(not in catalogue)","1","supabase/data/venues_to_check.csv row W009 (""Kinugawa Keisui, Nikko, Japan, 1 Key"")","Key count already established by the project's own prior research.",high,code_plus_country,proposed,supabase/data/hotels_master.csv (new row)
MA-054,QA-144,hotel,,Kinugawa Keisui,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a","Left unresolved.",low,name_proposed_unconfirmed,unresolved,supabase/data/hotels_master.csv (new row)
MA-054,QA-144,hotel,,Benesse House,new_row:address,"(not in catalogue)","Gotanji, Naoshima, Kagawa-gun, Kagawa Prefecture, Japan","benesse-artsite.jp/en/stay (official Benesse Art Site Naoshima page); guide.michelin.com hotel-selection search snippet corroborates as a 2-Key property","This is the accommodation building, confirmed distinct from the Benesse House Museum building that the original lookup incorrectly returned. Address is at neighborhood-level precision (no street number is normally used on Naoshima); medium confidence pending official confirmation of the exact building's address string.",medium,code_plus_country,proposed,supabase/data/hotels_master.csv (new row – no hotel_code assigned yet)
MA-054,QA-144,hotel,,Benesse House,new_row:michelin_keys,"(not in catalogue)","2","supabase/data/venues_to_check.csv row W010 (""Benesse House, Naoshima, Japan, 2 Keys"")","Key count already established by the project's own prior research.",high,code_plus_country,proposed,supabase/data/hotels_master.csv (new row)
MA-054,QA-144,hotel,,Benesse House,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a","Left unresolved. Note the accommodation and the art museum are on the same small campus, so extra care is needed to obtain the lodging-specific Place ID rather than the museum's.",low,name_proposed_unconfirmed,unresolved,supabase/data/hotels_master.csv (new row)
MA-055,QA-154,restaurant,,Ogata,new_row:address,"(not in catalogue)","726 Shinkamanzacho, Shimogyo-ku, Kyoto, 600-8471, Japan","elitetraveler.com/restaurant/17840/ogata; wanderlog.com place listing (""Higashiyama Ogata""); guide.michelin.com search snippet corroborates 2-star kaiseki status","Multiple independent sources agree on this address for the two-star kaiseki restaurant, clearly distinct from the wrongly-returned western-style ""Youshoku Ogata"" (hamburger steak restaurant).",medium,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
MA-055,QA-154,restaurant,,Ogata,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a – no Google Places API access","Left unresolved rather than guessed.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-056,QA-162,restaurant,,Kyo Seika,new_row:address,"(not in catalogue)","2F, 36-3 Okazaki Enshojicho, Sakyo-ku, Kyoto, 606-8344, Japan","viamichelin.com listing; foodle.pro restaurant profile; ikyu.com restaurant listing (京 静華, Okazaki)","Multiple sources converge on this address for the one-star Chinese restaurant, distinct from the wrongly-returned ramen/gyoza house ""Kyoto Seikaen"".",medium,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
MA-056,QA-162,restaurant,,Kyo Seika,new_row:operating_status,"(not in catalogue)","NEW FINDING: as of this research, the restaurant is reported temporarily closed, with a planned reopening in September (year not stated in source, presumed 2026)","foodle.pro and other listing snippets found via WebSearch (""The restaurant is temporarily closed and is planned to reopen in September'')","Worth flagging for import timing even though it doesn't map to a stored column – if imported now it may need a temporarily_closed-style flag rather than being marked fully open, similar to the treatment already used for La Paix (MA-064).",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-056,QA-162,restaurant,,Kyo Seika,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a","Left unresolved.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-056,QA-162,restaurant,,Kenya,new_row:address,"(not in catalogue)","unable to verify – NEW FINDING: restaurant relocated in early 2026 and the former address is now stale","tabelog.com listing explicitly marked ""[Relocated] Japanese cuisine Kenya"" showing former address ""28-22 Okazaki Tokuseicho, Sakyo-ku, Kyoto, 606-8351"" now superseded; a second Tabelog listing under the Takaragaike/Eizan-Railway area (URL tabelog.com/kyoto/A2601/A260303/26044591/) appears to be the new location but returned HTTP 403 on fetch, so its exact address could not be read","MA-056 was written against the pre-relocation address. As of this research, Kenya (研野) closed its Okazaki location at the end of January 2026 and moved to a new site nearer Takaragaike. Do not import the old Okazaki address as current. The exact new street address needs a human to open the Tabelog/official listing directly (blocked here by a 403).",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-056,QA-162,restaurant,,Kenya,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a","Left unresolved pending the address above.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-057,QA-166,restaurant,,Sassa,new_row:address,"(not in catalogue)","5-13-6 Hiroo, Shibuya-ku, Tokyo (ARISTO Hiroo building)","tableall.com/restaurant/371; restaurantsforkings.com (""Sassa — One-Star Hiroo Kaiseki Counter, Tokyo""); guide.michelin.com search snippet","Multiple sources confirm the Hiroo district location, consistent with MA-057's own note that the wrongly-returned ""Sasaya Asakusa"" is in the wrong district entirely. The Shibuya-ku ward attribution for Hiroo is general knowledge, not explicitly stated in every source fetched, so kept at medium confidence.",medium,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
MA-057,QA-166,restaurant,,Sassa,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a","Left unresolved.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-057,QA-166,restaurant,,Hyakuyaku by Tokuyamazushi,new_row:address,"(not in catalogue)","9F, 4-4-2 Ginza, Chuo-ku, Tokyo, 104-0061, Japan (Yasuda Building)","tabelog.com/en/tokyo/A1301/A130101/13302825; ai-finedining.com/restaurants/hyakuyaku-by-tokuyamazushi; joinpearl.co/restaurants/tokyo/hyakuyaku-by-tokuyamazushi","Multiple sources confirm this is a Ginza, TOKYO address (2-minute walk from Ginza Station Exit A13), directly refuting MA-057's note that the lookup returned ""its parent restaurant in Shiga prefecture, 350 km away''. The correct Tokyo branch does exist and has its own address.",high,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
MA-057,QA-166,restaurant,,Hyakuyaku by Tokuyamazushi,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a","Left unresolved.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-060,"QA-177(US)",restaurant,,Masa,new_row:address,"(not in catalogue)","10 Columbus Circle, 4th Floor, New York, NY 10019 (Deutsche Bank Center, formerly Time Warner Center)","masanyc.com (official site); theshopsatcolumbuscircle.com/restaurants/masa; Wikipedia Masa (restaurant) / Kappo Masa Restaurant articles","Confirms the correct building. However, this is the SAME street address as the wrongly-returned Bar Masa (they are on the same floor of the same complex), so the address alone cannot disambiguate the two – see the google_place_id row below.",medium,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
