action_id,entity_type,entity_code,entity_name,country,city,issue_category,exact_issue,why_claude_could_not_resolve,what_you_must_do,suggested_source,priority,blocks_import,related_qa_issue_id,status,mvp_triage
MA-011,both,hotel_13 / rest_0022,Château Neercanne / Chateau Neercanne,,,Shared Place ID,The hotel row and the restaurant row carry the identical google_place_id. Single property; note the accent differs between tables.,Ratified 28 Jul 2026: same. Accent difference logged separately as QA-181. Street conflict raised as MA-069.,"Confirm the shared Place ID is acceptable, or obtain a separate record for one side.",Google Maps,Medium,False,QA-096,Resolved,2 Nice to have before launch
MA-012,both,hotel_83 / rest_0258,7132 Hotel / 7132 Silver,,,Shared Place ID,The hotel row and the restaurant row carry the identical google_place_id. Restaurant inside the hotel sharing one Google record.,Ratified 28 Jul 2026: MICHELIN card shows 7132 Silver in the 7132 Hotel dining box.,"Confirm the shared Place ID is acceptable, or obtain a separate record for one side.",Google Maps,Medium,False,QA-096,Resolved,2 Nice to have before launch
MA-013,hotel,hotel_49,Grand Resort Bad Ragaz,Switzerland,Bad Ragaz,Denormalised multi-value,"restaurant_names and restaurant_codes contain two comma-separated values (Memories, IGNIV by Andreas Caminada). Every other hotel row holds at most one.",Splitting it depends on the MA-001 decision about where relationships live.,"restaurant_names, restaurant_codes and has_michelin_restaurant were dropped from the hotel table, removing the comma-separated value with them.",hotel_restaurant_links.csv,High,True,QA-020,Resolved,Resolved
MA-014,hotel,,6 Swiss hotels held back,Switzerland,,Unverified Key count,"Widder Hotel, The Dolder Grand, Hotel Giardino Mountain, Casa Caminada, Einstein St. Gallen and Park Gstaad have verified place data but no MICHELIN-verified Key count, so they were never imported.",MICHELIN blocks automated access to its Swiss Key list; no source gave the per-hotel Key count.,"Supply the Key count for each, then import from switzerland_pending_key_verification.csv.","MICHELIN Guide app or site, Switzerland hotels",High,False,QA-068,Open,2 Nice to have before launch
MA-015,hotel,,Swiss Two-Key tier short by 2,Switzerland,,Incomplete count,MICHELIN states Switzerland holds 32 Two-Key hotels; 30 are loaded. The two missing are probably among the six in MA-014.,"Both identified 28 Jul 2026 as Widder Hotel and The Dolder Grand, Zurich, Two Keys each, from MICHELIN detail pages. Rows not created: place data outstanding. Carried to MA-071.",Identify the two missing Two-Key hotels.,MICHELIN Switzerland Key list,High,False,QA-100,Resolved,2 Nice to have before launch
MA-016,hotel,,Sofitel Frankfurt Opera Key count,Germany,Frankfurt,Conflicting sources,A screenshot shows one Key while a MICHELIN German-language article shows two. The row was left at the screenshot value.,"Resolved 28 Jul 2026: MICHELIN card shows Two Keys, matching the stored value. Address conflict raised separately as MA-068.",Confirm the current Key count.,MICHELIN hotel page,Medium,False,QA-057,Resolved,2 Nice to have before launch
MA-017,restaurant,,3 Osaka hotel restaurants,Japan,Osaka,Unverified star count,"JIANG NAN CHUN, TEMPURA HANAGATAMI and Pierre have complete place data but no verified star count. The Tokyo and Kyoto listings resolved the other eleven.","The Osaka starred listing was never supplied, and the hotel card symbol does not indicate star level.",Supply the Osaka starred list or the three star counts.,MICHELIN Kyoto-Osaka listing,High,False,QA-128,Open,2 Nice to have before launch
MA-018,restaurant,,5 unstarred hotel restaurants,Japan,,Scope decision,"SIGNATURE, Hei Fung Terrace, TOKI, Tempura Mizuki and Benoit appear on MICHELIN hotel cards but are absent from the complete Tokyo and Kyoto starred listings. They are in the Guide without a Star.",Decided 28 Jul 2026: reject. Scope is at least one MICHELIN star OR a World 50 Best listing. Unstarred Guide entries including Bib Gourmand are out of scope for now.,Decide whether to exclude them or add a listing-level field.,japan_hotel_restaurants_pending.csv,Medium,False,QA-130,Resolved,2 Nice to have before launch
MA-019,restaurant,rest_0067,Moments,Spain,Barcelona,Star count uncertain,"Stored at 1 star. Historically 2 stars, and absent from the Barcelona two-star list for 2026, so 1 may now be correct.",Resolved 28 Jul 2026: user confirms one star for 2026. Stored value was already correct.,Confirm the current star count.,MICHELIN restaurant page,Medium,False,QA-087,Resolved,2 Nice to have before launch
MA-020,restaurant,rest_0301,Wing,Hong Kong,Hong Kong,Convention confirmation,Stored with michelin_stars = 0. Seven rows use 0 to mean an unstarred World 50 Best entry. Confirmed correct but the convention is undocumented.,"Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 8, Database Freeze v1.0, 28 July 2026.","Document that 0 means in scope but unstarred, and decide whether it should be NULL instead.",restaurants_master.csv,Low,False,QA-113,Resolved,1 Must fix before import
MA-021,link,hotel_14 / rest_0016,TwentySeven / Bougainville,Netherlands,Amsterdam,Link needs approval,"link_confidence = Campus. Evidence: same street and postcode, different number (hotel 27, restaurant 9)",Approved 28 Jul 2026 on user confirmation. Upgraded to Exact.,"Approve, reject or upgrade the link.",MICHELIN restaurant page naming its hotel,Medium,False,QA-048,Resolved,2 Nice to have before launch
MA-022,link,hotel_136 / rest_0271,Walch's Rote Wand Gourmet Hotel / Rote Wand Chef's Table,Austria,Lech am Arlberg,Link needs approval,"link_confidence = Campus. Evidence: same street and postcode, different number (hotel 5, restaurant 6)",Approved 28 Jul 2026 on Rote Wand operator page. Upgraded to Exact.,"Approve, reject or upgrade the link.",MICHELIN restaurant page naming its hotel,Medium,False,QA-048,Resolved,2 Nice to have before launch
MA-023,link,hotel_49 / rest_0234,Grand Resort Bad Ragaz / Memories,Switzerland,Bad Ragaz,Link needs approval,"link_confidence = Campus. Evidence: same street and postcode, different number (hotel 20, restaurant 14)",Approved 28 Jul 2026 on Grand Resort Bad Ragaz operator page. Upgraded to Exact.,"Approve, reject or upgrade the link.",MICHELIN restaurant page naming its hotel,Medium,False,QA-048,Resolved,2 Nice to have before launch
MA-024,link,hotel_49 / rest_0243,Grand Resort Bad Ragaz / IGNIV by Andreas Caminada,Switzerland,Bad Ragaz,Link needs approval,"link_confidence = Campus. Evidence: same street and postcode, different number (hotel 20, restaurant 14)",Approved 28 Jul 2026 on Grand Resort Bad Ragaz operator page. Upgraded to Exact.,"Approve, reject or upgrade the link.",MICHELIN restaurant page naming its hotel,Medium,False,QA-048,Resolved,2 Nice to have before launch
MA-025,link,hotel_59 / rest_0240,Tschuggen Grand Hotel / La Brezza,Switzerland,Arosa,Link needs approval,link_confidence = Manual Review. Evidence: restaurant address contains only the city,Already Exact in the link file (link_0067) from the 28 Jul 2026 MICHELIN card repair. Action record was stale.,"Approve, reject or upgrade the link.",MICHELIN restaurant page naming its hotel,Medium,False,QA-048,Resolved,2 Nice to have before launch
MA-026,country,,Andorra,Andorra,,Incomplete country count,"4 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-027,country,,Brazil,Brazil,,Incomplete country count,"1 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-028,country,,Croatia,Croatia,,Incomplete country count,"10 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-029,country,,Hungary,Hungary,,Incomplete country count,"12 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-030,country,,Malta,Malta,,Incomplete country count,"6 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-031,country,,Montenegro,Montenegro,,Incomplete country count,"6 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-032,country,,Poland,Poland,,Incomplete country count,"11 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-033,country,,Serbia,Serbia,,Incomplete country count,"4 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-034,country,,Slovenia,Slovenia,,Incomplete country count,"6 hotels loaded but the national MICHELIN Key total was never verified, so completeness cannot be judged.",The Key totals for these countries were taken from partial screenshots; no MICHELIN source gave a national figure.,"Supply the national Key total, or confirm the loaded set is complete.",MICHELIN Key list for the country,Medium,False,QA-071,Open,2 Nice to have before launch
MA-035,schema,,territory handling,"Monaco, Hong Kong, Macau, Faroe Islands",,Country convention,"Four territories are stored as their own country while MICHELIN files them under another guide: Monaco inside the France guide, Hong Kong and Macau in a joint guide, the Faroe Islands under Denmark in the Nordic guide.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 6, Database Freeze v1.0, 28 July 2026.","Set one rule and apply it to all four, or add a guide_edition column alongside country.",country_completion_dashboard.csv,High,False,QA-098,Resolved,1 Must fix before import
MA-036,both,,missing Michelin URLs,ALL,,Optional enrichment,541 of 572 hotels and 326 of 489 restaurants have no michelin_url. The numeric ID in a MICHELIN URL cannot be derived from the name.,Each URL needs an individual lookup; this is bulk enrichment rather than a correctness problem.,"Decide whether michelin_url is required at launch. If so, plan a bulk enrichment pass.",MICHELIN Guide site,Low,False,QA-013,Open,3 Post-MVP
MA-037,both,,missing website and booking URLs,ALL,,Optional enrichment,website_url is filled on 18 of 572 hotels and booking_url on 8. Both are almost entirely empty across the restaurant table too.,"Bulk enrichment, not a correctness issue.",Decide whether these fields are needed at launch.,hotel and restaurant official sites,Low,False,,Open,3 Post-MVP
MA-038,both,,cuisine blank on 164 restaurants,ALL,,Optional enrichment,The 325 original rows carry a cuisine value; none of the 164 rows added later do.,Cuisine was not captured during the additions and is not needed for import.,Decide whether cuisine must be backfilled.,MICHELIN restaurant pages,Low,False,,Open,3 Post-MVP
MA-039,schema,,address matcher defect,"Malta, Ireland, UK, USA",,Tooling defect,"The address parser assumes street-then-number. For British-form addresses written number-then-street it silently falls back to matching on street name alone, which produced one accidental link that happened to be correct.","Fixing the matcher is code work, and rerunning it could create or destroy links without your review.",Repair the parser before running the linker over any British-form address market.,QA-105 entry,High,False,QA-105,Open,3 Post-MVP
MA-040,schema,,50 Best refresh and hall of fame,ALL,,Historical status,"worlds_50_best_rank is a snapshot of the 2025 list. The 2026 ranking is published on 4 November 2026. Maido, the reigning number one, enters the Best of the Best hall of fame and leaves the ranking entirely, as Central already did.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 3, Database Freeze v1.0, 28 July 2026.",Decide whether to add a rank history table and a hall_of_fame flag before the November refresh.,theworlds50best.com,Medium,False,QA-115,Resolved,1 Must fix before import
MA-041,schema,,historical Key and Star status,ALL,,Historical status,"Only current status is stored. Several records already changed tier during this project: Kadeau Copenhagen 2 to 3, Myojaku 2 to 3, Casa Marcial 2 to 3, Le Chabichou 2 to 1, L Ambroisie 3 to 2, noma off the list entirely.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 2, Database Freeze v1.0, 28 July 2026.",Decide whether current and historical status need separate tables before import.,"qa_issues.csv entries QA-099, QA-120",High,False,QA-099,Resolved,1 Must fix before import
MA-042,schema,,cross-country name collisions,ALL,,Duplicate review,"Six brands appear more than once as legitimately distinct restaurants: Da Vittorio (Italy, Switzerland), Agli Amici (Italy, Croatia), L Atelier de Joel Robuchon (Hong Kong, Taiwan), Noor (Netherlands, Spain), IGNIV by Andreas Caminada (Switzerland twice), La Brezza (Switzerland twice). TOKi Tokyo and TOKI Kyoto differ only in capitalisation.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 9, Database Freeze v1.0, 28 July 2026.","Confirm that search, dedupe and linking key on restaurant_code and country, never on name.",restaurants_master.csv,Medium,False,QA-116,Resolved,1 Must fix before import
MA-043,schema,,restaurant hotels without a Key record,"Japan, Hong Kong, Macau",,Schema decision,"23 restaurants carry located_in_hotel = true with no hotel_code, because their hotel holds no MICHELIN Key or is not yet loaded. Examples: all 7 Macau resort restaurants, 13 Hong Kong hotel restaurants, Jean-Georges at The Shinmonzen in Kyoto.",Whether hotel_name may be populated without a matching Key hotel record is exactly the schema question you flagged.,DECIDED. hotels holds only MICHELIN Key hotels; hotel_restaurant_links holds only verified links to Key hotels present in the database; a restaurant inside a non-Key hotel stores the property name in the new property_name column without a hotel record or link row. Implemented 28 July 2026.,restaurants_master.csv located_in_hotel column,High,True,QA-134,Resolved,Resolved
MA-044,restaurant,,6 Beijing lookups returned wrong records,China,Beijing,Wrong record,"Chao Shang Chao, Blackswan, Lamdre, Jingji, Lu Shang Lu and Shanghai Cuisine all returned a different establishment. None was imported. Google Maps has minimal commercial coverage in mainland China.",The lookup method used everywhere else does not work in mainland China.,"Source Chinese coordinates and Place IDs from Amap or Baidu, or accept name, city and star only.",china_failed_lookups.csv,Medium,False,QA-118,Open,3 Post-MVP
MA-045,restaurant,,The Huaiyang Garden,Macau,Macau,Wrong record,"The lookup returned Palace Garden, a different restaurant at the same resort. Not imported. Macau two-star tier is 5 of 6.",Two similar names in one resort; picking without verification risks the wrong record.,Supply the correct record for The Huaiyang Garden.,macau_pending_lookup.csv,Medium,False,QA-109,Open,2 Nice to have before launch
MA-046,restaurant,,2 Place IDs may point at a sibling concept,Hong Kong,Hong Kong,Verify Place ID,"L'Atelier de Joel Robuchon returns under the plain name Joel Robuchon at the Landmark where the group also runs Le Jardin; Lai Ching Heen returns as Lai Ching Heen (Yan Toh Heen), merging two restaurant identities.",Both may cover a combined venue rather than the starred restaurant specifically.,Verify both Place IDs point at the starred restaurant.,Google Maps,Medium,False,QA-112,Open,2 Nice to have before launch
MA-047,restaurant,,Kanamean Nishitomiya resolves to the ryokan,Japan,Kyoto,Verify Place ID,"Hotel and restaurant share a name so the lookup returned the ryokan record. The property runs two dining rooms, Kaname and Nishitomiya.",Which dining room carries the MICHELIN entry is unclear from the sources seen.,Establish which dining room holds the star and supply its Place ID.,MICHELIN Kyoto listing,Medium,False,QA-129,Open,2 Nice to have before launch
MA-048,hotel,,9 hotel lookups returned a restaurant or facility,"Germany, Austria, Andorra, Spain, Italy",,Verify Place ID,"Recurring pattern where Google ranks the restaurant or spa above the hotel: Seesteg Norderney, Rote Wand, Widmann s Loewen, L Ovella Negra, Quadrille, Atrio, ABaC, Villa Feltrinelli, Terra The Magic Place.",For several of these no separate hotel record appears to exist because the property is a single building.,Confirm each hotel Place ID points at the accommodation and not at a restaurant or spa record.,Google Maps,High,False,QA-085,Open,2 Nice to have before launch
MA-049,schema,,destination versus postal city,"Italy, Spain, Switzerland, Japan, Austria, Germany",,City convention,"More than twenty rows use the MICHELIN destination name while the postal municipality differs, for example Capri versus Anacapri, Kutchan versus Kutchancho Abuta-gun, Hakone versus Hakonemachi Ashigarashimo-gun. Two Japanese cities were inferred from the prefecture: Satoyama Jujo under Minamiuonuma and Oyado The Earth under Toba.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 7, Database Freeze v1.0, 28 July 2026.",Ratify the destination-name convention and confirm the two inferred Japanese cities.,city_names_flagged_not_changed.csv,Medium,False,QA-127,Resolved,1 Must fix before import
MA-050,restaurant,,El Poblet listed by Google as Flores Raras,Spain,Valencia,Possible rename,"The lookup returned Flores Raras Restaurante at the correct address, with reviews still referring to El Poblet. Imported under the MICHELIN name.",Resolved 28 Jul 2026: MICHELIN card states the restaurant was formerly El Poblet. Renamed to Flores Raras. Address conflict raised as MA-070.,Verify whether the restaurant has been renamed.,MICHELIN restaurant page,Low,False,QA-093,Resolved,3 Post-MVP
MA-051,restaurant,,1 Italian two-star name never found,Italy,,Incomplete count,MICHELIN Italy 2026 holds 38 two-star restaurants; 37 are loaded. The published list came through with an alphabetical gap.,The missing name never appeared in any retrieved fragment.,Identify the 38th Italian two-star.,MICHELIN Italy 2026 list,Medium,False,QA-090,Open,2 Nice to have before launch
MA-052,restaurant,,6 Spanish two-stars restored from a gap,Spain,,Source confidence,"Voro, L Escaleta, Bo.TiC, Venta Moncalvillo, Amelia by Paulo Airaudo and Ambivium were restored from the prior-year list because cities C to E were missing from the 2026 fragment. The count then closed at exactly 37.",Resolved 28 Jul 2026: five confirmed at two stars for 2026; Ambivium corrected to one star.,Verify these six against the 2026 list.,MICHELIN Spain 2026 list,Medium,False,QA-091,Resolved,2 Nice to have before launch
MA-053,restaurant,,41 linked restaurants flagged located_in_hotel=false,mixed,,Data consistency,"41 restaurants have a row in the join table, which means they demonstrably sit inside a MICHELIN Key hotel, yet located_in_hotel is false. All of them come from the original 325-row import where the flag was set before the links existed.",Flipping the flag is a bulk substantive edit. It is almost certainly correct but it changes 18 rows and should be your call.,RESOLVED. located_in_hotel set to true on all 39 remaining linked restaurants. The relationship table is now the single source of truth.,hotel_restaurant_links.csv,High,False,QA-142,Resolved,Resolved
MA-054,hotel,,"Atami Izusan Karaku, Kinugawa Keisui and Benesse House",Japan,"Atami, Nikko",Wrong record,Three of 118 Japanese hotel lookups returned the wrong record. Atami Izusan Karaku and Kinugawa Keisui both returned a Tokyu Harvest Club property; Benesse House returned its museum building rather than the accommodation. None was imported.,Picking between two similarly named properties without a MICHELIN page to check against would be a guess.,Verify all three against their MICHELIN hotel pages and supply the correct Place IDs.,japan_hotels_failed_lookups.csv,Medium,False,QA-144,Open,2 Nice to have before launch
MA-055,restaurant,,Ogata,Japan,Kyoto,Wrong record,"The lookup for the two-star kaiseki house Ogata returned Youshoku Ogata, a western-style restaurant known for hamburger steak. Not imported, leaving Kyoto at 18 of 19 two-stars.",Two Kyoto restaurants share the Ogata name; choosing between them without a MICHELIN page would be a guess.,Supply the Place ID and address for the kaiseki Ogata.,japan_restaurants_failed_lookups.csv,Medium,False,QA-154,Open,2 Nice to have before launch
MA-056,restaurant,,Kyo Seika and Kenya,Japan,Kyoto,Wrong record,"Both lookups returned casual restaurants that cannot be the starred establishments: a ramen house and a student cafeteria. Neither imported, leaving Kyoto at 94 of 96 starred restaurants.",Common names with no distinguishing detail in the roster; choosing an alternative would be a guess.,Supply the correct Place IDs and addresses for both.,kyoto_failed_lookups.csv,Medium,False,QA-162,Open,2 Nice to have before launch
MA-057,restaurant,,Sassa and Hyakuyaku by Tokuyamazushi,Japan,Tokyo,Wrong record,"Two Tokyo lookups returned the wrong establishment. Sassa returned Sasaya Asakusa, a beef hotpot house in another district. Hyakuyaku by Tokuyamazushi returned its parent restaurant in Shiga prefecture, 350 km away. Neither imported.",No distinguishing detail in the roster to search on.,Supply the correct Place ID and address.,tokyo_failed_lookups.csv,Medium,False,QA-166,Open,2 Nice to have before launch
MA-058,restaurant,"rest_0621, rest_0628, rest_0643","LA TABLE de Joel Robuchon, Tempura Ginya, Tempura Maehira",Japan,Tokyo,Star count uncertain,"All three are stored at one star per the roster, but visitor reviews consistently describe them as two-star establishments.",Resolved 28 Jul 2026: user confirms one star for all three. Roster was correct; visitor reports were not.,Verify the current star count for all three against their MICHELIN pages.,MICHELIN Tokyo listing,Medium,False,QA-167,Resolved,2 Nice to have before launch
MA-059,schema,,US state or region column,United States,,Country convention,"The restaurant table has no state or region column, so California, New York and Illinois can only be told apart through the city value. The US is covered by 13 separate MICHELIN guide jurisdictions, several of which are multi-state.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 5, Database Freeze v1.0, 28 July 2026.",Decide whether to add a region column or derive state from the address string.,DATABASE_ARCHITECTURE.md section 7,Medium,False,QA-175,Resolved,1 Must fix before import
MA-060,restaurant,,Masa,United States,New York,Wrong record,"The lookup returned Bar Masa, the informal sibling in the same Columbus Circle complex. Masa itself sits down the hall behind a blue curtain. Masa was demoted from three to two stars in November 2025 and is the only New York two-star missing.",Two restaurants of the same brand at one address; picking without verification risks the wrong record.,Supply the Place ID for Masa itself.,usa_failed_lookups.csv,Medium,False,QA-177,Open,2 Nice to have before launch
MA-061,country,,three US guides not yet verified,United States,,Incomplete country count,"The Texas, American South and Southwest two-star tiers were not loaded. The MICHELIN pages retrieved for Texas 2025 did not clearly separate the one and two-star sections, Atlanta is reported to hold no two-star at all, and the Southwest guide launched only in 2026 covering Arizona, Colorado, Nevada, New Mexico and Utah.","Importing without a verified per-guide selection would mean guessing star levels, which is exactly the error that produced the conflicting national totals in QA-178.","Supply the two-star lists for Texas, the American South and the Southwest, or confirm those tiers are empty.",MICHELIN Guide ceremony pages per region,Medium,False,QA-177,Open,3 Post-MVP
MA-062,restaurant,"rest_0450, rest_0452, rest_0766","Cristal Room by Anne-Sophie Pic, L Atelier de Joel Robuchon Hong Kong, Jean-Georges New York","Hong Kong, United States","Hong Kong, New York",Missing property name,"Three restaurants are flagged located_in_hotel = true but property_name could not be filled. The two Hong Kong rows give The Landmark as their address, which is a shopping complex rather than a hotel, so the flag itself may be wrong. Jean-Georges sits at 1 Central Park West, a hotel tower, but no source retrieved names the property.","Two of three resolved 28 Jul 2026: MICHELIN cards place Cristal Room and L'Atelier de Joel Robuchon inside The Landmark, an office and retail complex, so located_in_hotel was set to false and property_name correctly stays null. Jean-Georges New York remains open.","Supply the property name for each, or set located_in_hotel to false where the venue is not in a hotel.",MICHELIN restaurant pages,Medium,False,QA-180,Partially resolved,2 Nice to have before launch
MA-063,schema,,located_in_hotel is now derivable,ALL,,Schema simplification,"Under the three rules just adopted, a restaurant is in a Key hotel exactly when it has a link row, and in a non-Key hotel exactly when property_name is filled. located_in_hotel therefore carries no information the other two columns do not, and today it contradicts them on 41 rows.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 1, Database Freeze v1.0, 28 July 2026.","Either drop located_in_hotel and derive it, or close MA-053 first so the flag agrees with the link table.",DATABASE_ARCHITECTURE.md section 11,High,False,QA-181,Resolved,1 Must fix before import
