issue_id,category,severity,scope,affected,description,recommended_action,status
QA-034,Data quality,Low,All,booking_url and worlds_50_best columns,booking_url is empty on 79 of 87 rows and one existing value is a session-encoded deep link that will rot. worlds_50_best_rank / _year are 100% NULL and their intended meaning for hotels is unconfirmed.,Confirm intent for both column pairs,Open
QA-035,Coverage,Medium,DACH + Belgium,Restaurant table holds only 2- and 3-star rows outside NL/LU,"Germany 47x2* + 12x3*, Switzerland 27x2* + 4x3*, Austria 18x2* + 2x3*, Belgium 19x2* + 2x3* — no 1-star rows. Most Key hotels with a restaurant have a ONE-star restaurant, so link rates are structurally capped.",Extend restaurant coverage to 1-star in DACH to raise link yield,Open
QA-036,Data quality,Low,Luxembourg,La Cristallerie missing from restaurant table,"hotel_22 Le Place d’Armes has has_michelin_restaurant=true (MICHELIN names the starred La Cristallerie on the hotel page) but the restaurant is absent from your table, so restaurant_codes is empty.",Add La Cristallerie on the restaurant side,Open
QA-037,Data quality,Low,Germany,hotel_28 Althoff Seehotel Ueberfahrt,"has_michelin_restaurant set false. The hotel historically housed Christian Juergens’ three-star Ueberfahrt; the only Rottach-Egern restaurant in your table is rest_0219 Dichter at a different address. RESOLVED: rest_0219 Dichter matches Parkhotel Egerner Hoefe at Aribostrasse 19 exactly, so it is not Ueberfahrt’s restaurant. hotel_28 has_michelin_restaurant=false stands.",Confirm current star status before trusting the false,Resolved
QA-040,Data error,High,Germany,Seesteg Norderney — NOT IMPORTED,"Google Places returns ""Restaurant Seesteg"" for this property, not the hotel. Using that place_id would violate the rule that Place IDs must resolve to the hotel itself. Hotel excluded from the batch. RESOLVED: hotel-level Place ID found under ""Relais & Chateaux Hotel Seesteg"" (ChIJdVN7v08FtkcROqcuWm_SFJg, type=hotel). Imported as hotel_116.","Obtain the hotel-level Place ID, then import",Resolved
QA-041,Completeness,Medium,Germany,"3 Two-Key hotels not imported (Severin’s, BUDERSAND, Weissenhaus)","PARTIALLY RESOLVED. Landhaus Stricker and Soel’ring Hof confirmed Two Keys directly from their MICHELIN hotel pages and imported. Severin’s Resort & Spa (URL /sylt/severins-10244), BUDERSAND Hotel - Golf & Spa (/sylt/budersand-hotel-golf-spa-9695) and Weissenhaus Private Nature Luxury Resort still have no Key line read from a MICHELIN page. Place IDs, coordinates and addresses already captured and held in this issue.","Confirm Key line on the three MICHELIN pages, then import; 31 of 34 imported",Open
QA-042,Data error,Medium,Germany,hotel_91 Patrick Hellmann Schlosshotel,"MICHELIN publishes ""Patrick Hellmann Schlosshotel""; Google returns ""Schlosshotel Berlin"" for the same Place ID, suggesting a rebrand. Possible renamed-hotel case. RESOLVED: MICHELIN Guide listing shows ""Patrick Hellmann Schlosshotel"". Name stands.",Verify current MICHELIN name,Resolved
QA-043,Data error,Medium,Germany,hotel_100 Sofitel Frankfurt Opera address,"Google returns ""Nur Hier Zufahrt Zum, Hochstrasse 44"" (a junk prefix plus a service entrance). The hotel publishes Opernplatz 16. Address stored as Hochstrasse 44 pending verification.",Verify the street address against MICHELIN,Open
QA-044,Convention,Low,Germany,City field cleanup,"Google appended district suffixes on 8 German rows (Dresden-Kempinski, Duesseldorf-Stadtbezirk 1, Muenchen-Maxvorstadt, Grassau-Grafing, Gluecksburg (Ostsee)-Meierwik, Neustadt). Normalised to the postal city in address; city holds the MICHELIN destination.",Spot-check the 8 normalised addresses,Open
QA-045,Convention,Low,Germany,hotel_100 city value,"city set to ""Frankfurt am Main"" to join with existing restaurant rows; MICHELIN’s English article uses ""Frankfurt"". Flagged earlier as an open judgement call.",Confirm preferred form,Open
QA-046,Convention,Low,Germany,hotel_106 Das Kranzbach,"MICHELIN destination ""Kranzbach""; postal municipality is Kruen (82493), the same postcode as hotel_25 Schloss Elmau. Fourth destination-vs-postal case.",Covered by the planned destination/postal field,Open
QA-047,Data error,Low,Germany,hotel_115 name corrected,"MICHELIN’s country list renders this as ""LA MAISON"" but the hotel page publishes ""La Maison"". Corrected to the hotel-page form and michelin_url added (120708-9980).",None — corrected,Resolved
QA-048,Data error,Medium,Process,Address matcher false positive,"The auto-linker matched on street name + postcode only, ignoring house number. In Ischgl this linked rest_0269 Stuva (Dorfstrasse 73) to BOTH hotel_129 Trofana Royal (95) and hotel_130 Schlosshotel Ischgl (85). Stuva belongs to neither. Matcher tightened to require an exact house-number match; both false links removed before export.",Re-verify earlier batches built with the looser rule during QA,Resolved
QA-049,Completeness,High,Austria,17 One-Key hotels not imported,"MICHELIN 2025 Austria article lists 45 One-Key hotels; the excerpt truncated at ""Palt: MA[LAT]"". The remaining 17 (Salzburg x3, Seefeld in Tirol x2, Soelden x2, Tux, Uderns, Vienna x8, Zell am Ziller) appear in the 2024 MICHELIN list but were not read from the 2025 list.","Read the tail of the 2025 list, then import; 28 of 45 imported",Open
QA-050,Data error,Medium,Austria,Walch’s Rote Wand Gourmet Hotel place lookup,"First Google Places lookup returned ""Rote Wand Chef’s Table"" (type=fine_dining_restaurant), not the hotel — the same failure mode as Seesteg Norderney (QA-040). Correct hotel record found on retry: ""Rote Wand Gourmet Hotel"", Zug 5, place_id ChIJ__6lUQCnnEcRrSEW6JsST_0.",None — resolved; pattern noted for future lookups,Resolved
QA-051,Link confidence,Low,Austria,hotel_136 → rest_0271,"Campus link. Hotel at Zug 5, Rote Wand Chef’s Table at Zug 6 — the restaurant is part of the same hotel complex.",Confirm during QA,Open
QA-052,Data error,Medium,Austria,hotel_40 Hotel Tannenhof tier change,Hotel Tannenhof (St. Anton am Arlberg) appears in the 2024 MICHELIN One-Key list but was promoted to Two Keys in 2025 and is already imported as hotel_40 with michelin_keys=2. Excluded from this One-Key batch to avoid a duplicate at the wrong tier.,None — handled; noted for audit,Resolved
QA-053,Data error,High,Belgium,Belgium country total corrected 6 → 15,"Every earlier Belgian figure traced to a third-party travel blog stating ""Michelin’s Belgium rollout recognized 6 hotels in total"". The MICHELIN Guide listing supplied by the user shows 15 Key hotels: 2 Two-Key and 13 One-Key. The blog was wrong and was the only source for that number.",Country total updated to 15; Belgium now complete,Resolved
QA-054,Data error / quarantine,High,Belgium,rest_0158 La Paix location data,La Paix is temporarily closed and relocating from Rue Ropsy-Chaudron 49 in Anderlecht to Corinthia Grand Hotel Astoria Brussels. The quarantined row currently contains Rue Royale 103 with Brussels coordinates and a Place ID that does not safely identify La Paix. Those values must not be imported as the restaurant location.,"Keep rest_0158 outside the production import unless the former Anderlecht address, coordinates and Place ID can all be verified. Otherwise wait until reopening, then update the venue and create a relationship to hotel_153.",Open
QA-055,Convention,Low,Belgium,hotel_151 → rest_0167 city mismatch,"Exact address match (Paalsteenlaan 90, 3620 Lanaken) but hotel city is Lanaken while rest_0167 Ralf Berendsen uses Neerharen, a village within Lanaken. Fifth destination-vs-locality case.",Covered by the planned destination/postal field,Open
QA-056,Coverage,Medium,Belgium,6 hotel restaurants absent from restaurant table,"The MICHELIN listing names LOF (Reylof), Fine Fleur (Botanic Sanctuary), Restaurant Aurum (Kasteel van Ordingen), Bistrôt Le Ciel (La Butte aux Bois), Arden (Château de Vignée) and le Petit bon bon (Corinthia). None is in the restaurant table, which holds only 2- and 3-star Belgian rows. These are likely one-star or unstarred.",Extend Belgian restaurant coverage to one-star to unlock these links,Open
QA-057,Data error,High,Germany,hotel_100 Sofitel Frankfurt Opera key count,"CONFLICT between two MICHELIN sources. The 2025 German country article lists ""Frankfurt: Sofitel Frankfurt Opera"" under the Two-Key heading, and it was imported with michelin_keys=2. The MICHELIN Guide listing screenshot appears to show a single key icon for this property. The icon sits at the clipped top edge of the screenshot, so the reading is not certain. NOT changed pending confirmation.",Open the Sofitel Frankfurt Opera MICHELIN hotel page and read the Key line directly,Open
QA-058,Data error,Medium,Germany,Widmann's Loewen NOT IMPORTED,"Google Places returns ""Widmann's Alb.leben"" (a restaurant/hotel sibling) for this property at Struthstrasse 17, Koenigsbronn-Zang. Third occurrence of the restaurant-outranks-hotel pattern (see QA-040 Seesteg, QA-050 Rote Wand). Hotel excluded rather than risk a restaurant-level Place ID. RESOLVED: MICHELIN listing confirms name ""Widmann's Loewen"" and city Koenigsbronn. The Google record (Widmann's Alb.leben, same address, type=hotel) covers the combined property. Imported as hotel_251.","Obtain the hotel-level Place ID, then import",Resolved
QA-059,Data error,Medium,Germany,"hotel_26 renamed to ""Hotel Vier Jahreszeiten""","MICHELIN listing shows the Hamburg Three-Key property as ""Hotel Vier Jahreszeiten"", not ""Fairmont Hotel Vier Jahreszeiten"". Renamed. Distinct from hotel_159 ""Hotel Vier Jahreszeiten Kempinski"" in Munich (One Key) — names remain unique.",None — corrected,Resolved
QA-060,Data error,Medium,Germany,"2024 Two-Key hotels were downgraded, not dropped","QA-001 concluded that Hotel Engel Obertal, Hotel am Steinplatz and Excelsior Hotel Ernst ""left the Two-Key tier"". The MICHELIN listing shows Excelsior Hotel Ernst holding ONE key, so they were downgraded rather than removed. The 36-3+1=34 arithmetic and the resulting Two-Key list were still correct; only the interpretation was wrong. Excelsior imported here as hotel_162 with one key. RESOLVED: the MICHELIN listing shows Excelsior Hotel Ernst, Hotel Engel Obertal and Roomers Berlin Steinplatz (formerly Hotel am Steinplatz) all holding ONE key. All three downgraded, not removed, and all three are now imported.","Confirm Engel Obertal and am Steinplatz also sit at One Key, then import",Resolved
QA-061,Completeness,Medium,Germany,Screenshot coverage is partial,The four German screenshots show roughly 48 cards; Germany has 130 Key hotels. 28 new One-Key hotels were read and imported. The remaining German One-Key hotels (approximately 60) are not yet covered. RESOLVED: 61 further One-Key hotels read from nine MICHELIN listing screenshots and imported. Germany One-Key now 89 of 90.,Supply further screenshots or continue via the MICHELIN country article,Resolved
QA-062,Convention,Low,Germany,hotel_173 Villa Sonnenhof / hotel_175 Althoff Bensberg,Two more destination-vs-postal cases: MICHELIN city Bad Reichenhall vs postal Bayerisch Gmain; MICHELIN city Bensberg vs postal Bergisch Gladbach.,Covered by the planned destination/postal field,Open
QA-063,Validation,High,Monaco,Non-keyed hotels visible in the MICHELIN listing,"The Monaco screenshot shows 6 cards, but only 2 carry key icons: Hotel de Paris Monte-Carlo (3) and Hotel Metropole Monte Carlo (2). Hermitage Monte-Carlo, Fairmont Monte Carlo, Monte Carlo Bay Hotel & Resort and Columbus Monte-Carlo show NO key icon. First direct visual confirmation that the MICHELIN hotel listing mixes Key holders with merely selected hotels. The four non-keyed properties were NOT imported.",None — confirms the guide-listed vs keyed distinction applied throughout,Resolved
QA-064,Completeness,Low,Brazil,Brazil country total unconfirmed,"PARTIALLY RESOLVED. Singapore (7), Monaco (2) and Aruba (1) confirmed complete by the user against the MICHELIN Guide listing; all three now show 100%. Brazil remains at a single imported hotel (Copacabana Palace) with an unconfirmed national total and is almost certainly incomplete.","Establish the Brazilian Key total, then complete the country",Open
QA-065,Coverage,Low,"Singapore, Monaco, Brazil, Aruba",No restaurant links possible,"Zero links. The restaurant table holds 3 Singapore rows (all three-star: none at these hotels), 1 Brazil row, and nothing for Monaco or Aruba. MICHELIN names Mee (Copacabana Palace), Butcher’s Block (Raffles), Fiamma (Capella), Jiang-Nan Chun (Four Seasons), Em Sherif (Hotel de Paris) and Les Ambassadeurs (Metropole) — none present.",Extend restaurant coverage if these markets matter for launch,Open
QA-066,Data error,Medium,Germany,Hotel Gut Immenhof NOT IMPORTED,"Google Places returns ""Gut Rothensande"" (Rothensande 1, 23714 Malente) for this query — a different estate near Malente, not Gut Immenhof. No hotel-level Place ID obtained. This is the only one of the 62 screenshot hotels not imported.","Obtain the correct Place ID for Hotel Gut Immenhof, then import",Open
QA-067,Data error,High,Switzerland,rest_0254 Da Vittorio address wrong — link reassigned,"rest_0254 Da Vittorio is stored at Via Serlas 27, 7500 St. Moritz, which is Badrutt’s Palace Hotel. That produced an EXACT-confidence link to hotel_55. The MICHELIN restaurant listing states Da Vittorio - St. Moritz is ""in Carlton Hotel St. Moritz"" (Via Johannes Badrutt 11). Link moved to hotel_56; hotel_55 now has no starred restaurant. Second case of a wrong restaurant address producing a false Exact link (see QA-054 La Paix).",Correct rest_0254 address to Via Johannes Badrutt 11 on the restaurant side,Open
QA-068,Completeness,Medium,Switzerland,5 hotels named by MICHELIN but absent from the database,"The Swiss restaurant listing names five hotels not yet imported: Widder Hotel and The Dolder Grand (both Zurich, both in the 2024 Two-Key list — see QA-010), Giardino Mountain (Champfer near St. Moritz), Casa Caminada (Fuerstenau, home of three-star Schloss Schauenstein, previously described by MICHELIN as One-Key) and Einstein St. Gallen. The ""in <hotel>"" field links to any MICHELIN Guide hotel, keyed or not, so Key status is NOT established by these cards. UPDATE: place data captured for all five plus Park Gstaad, held in switzerland_pending_key_verification.csv. Key counts still unverified so none imported.","Verify Key status for all five, then import; would also close QA-010",Partially resolved
QA-069,Data quality,Low,All,"MICHELIN ""in <hotel>"" field is optional","Michelin populates the hotel field on some restaurant cards and not others. Pic Beau-Rivage Palace, Sven Wassmer Memories, IGNIV Bad Ragaz and Colonnade all sit inside hotels already linked in our data, yet show no hotel field. Absence of the field is not evidence against a link.","Treat the field as confirmatory only, never as a negative signal",Resolved
QA-070,Data quality,Low,Switzerland,Ecco Ascona hotel attribution unclear,"Both Ecco St. Moritz and Ecco (Ascona) display ""Giardino Mountain"" as their hotel. Giardino Mountain is near St. Moritz; the Ascona sister property is Giardino Ascona. The Ascona card may show the wrong hotel, or the reading is mistaken.",Verify before linking either Ecco restaurant,Open
QA-071,Completeness,Medium,"Croatia, Hungary, Serbia, Andorra, Malta, Montenegro, Slovenia",Seven new countries imported from partial views,"48 hotels imported: Croatia 10, Hungary 12, Serbia 4, Andorra 4, Malta 6, Montenegro 6, Slovenia 6. Every screenshot is a scrolled view showing only the lower rows of each listing, so hotels above the visible area are missing. The Serbia and Andorra pages show pagination ""1"", meaning single-page lists, but the upper rows were still not captured. National Key totals are unknown for all seven.","Capture the full listing per country, then complete",Open
QA-072,Data error,Medium,Andorra,"L'Ovella Negra Mountain — incomplete address, weak Place record","First lookup returned L'Ovella Negra Xiringuito (type=restaurant), the fourth occurrence of the restaurant-outranks-hotel pattern (QA-040, QA-050, QA-058). Retry found L´Ovella Negra Mountain Lodge (place_id ChIJ73fKEyVjrxIRBwLHrLTQd6k) but the Google record carries no street address and type is 'lodging' rather than 'hotel'. Imported with address 'AD100 Canillo' only.",Obtain a full street address from the hotel website,Open
QA-073,Convention,Low,"Montenegro, Hungary, Slovenia, Croatia",4 name/locality mismatches,"MICHELIN name vs Google record: SIRO Boka Place / SIRO Porto Montenegro (same Tivat property); Platán Manor / Platán Udvarház (Tata); Nebesa Chalets / Nebesa Tourist Houses (Kobarid). Locality: Chalet Sofija is MICHELIN city Kranjska Gora, postal Gozd Martuljek. MICHELIN names and cities used throughout.",Confirm during QA; sixth destination-vs-postal case logged,Open
QA-074,Coverage,Low,Seven new countries,No restaurant links possible,"Zero links across all 48 hotels. MICHELIN cards name Zinfandel’s (Esplanade Zagreb), Platán Gourmet, KOLLÁZS (Four Seasons Gresham), Spago by Wolfgang Puck (Matild Palace), L’Adresse (SAINT TEN), Ebisu (Square Nine), Ibaya (Sport Hotel Hermitage), Grain Street (Rosselli), ION Harbour by Simon Rogan (Iniala) and De Mondion (Xara Palace). None is present in the restaurant table, which holds only two- and three-star rows for these markets.",Extend restaurant coverage if these markets matter for launch,Open
QA-075,Data error,Medium,Poland,Bachleda Residence Zakopane NOT IMPORTED,"Google Places returns ""Bachleda Resort Zakopane"" (Kazimierza Przerwy-Tetmajera 16). MICHELIN publishes ""Bachleda Residence Zakopane"". Bachleda operates more than one property in Zakopane, so Resort and Residence may be different buildings. Excluded rather than risk attaching the wrong Place ID, consistent with the handling of Hotel Gut Immenhof (QA-066).","Confirm which Bachleda property holds the Key, obtain its Place ID, then import",Open
QA-076,Data error,Medium,Poland,Quadrille first lookup returned the spa,"Searching ""Quadrille"" returned ""Quadrille Spa"" (types: spa, massage, swimming_pool — no hotel type) at Folwarczna 2, Gdynia. Retry found ""Hotel Quadrille Relais & Chateaux"" at the same address, place_id ChIJm-3nw5Wg_UYRlZOqkN8Vbo8. Fifth occurrence of the facility-outranks-hotel pattern (QA-040 Seesteg, QA-050 Rote Wand, QA-058 Widmann’s, QA-072 L’Ovella Negra). A guest review on the correct record independently mentions two MICHELIN keys, matching the screenshot.",None — resolved; pattern now confirmed across five countries,Resolved
QA-077,Convention,Low,Poland,Jaskolka Dom i SPA name mismatch,"Google lists this property as ""Swallow Manor"" (Wolnosci 10, Szklarska Poreba). ""Jaskolka"" is Polish for swallow, so this is the same property under an English trading name. MICHELIN name retained.",Confirm during QA,Open
QA-078,Completeness,Medium,Poland,Poland imported from a partial view,"11 of 12 visible hotels imported (7 Two-Key, 4 One-Key). The screenshot is a scrolled view showing only the lower rows, so hotels above the visible area are missing, and the national Key total is unknown.","Capture the full Polish listing, then complete",Open
QA-079,Completeness,High,Spain,Large import backlog,"Italy roster 144 hotels: 60 imported, 84 pending Google Place IDs. Spain roster 109 hotels: 0 imported, 109 pending. Both rosters are captured in full (name, city, key count, MICHELIN restaurant, status column) so no screenshot data can be lost; only the Place ID lookups remain. UPDATE: Italy complete — all 144 roster hotels imported. Spain remains at 0 of 109. RESOLVED: Spain complete at 109 of 109. Both rosters fully imported.",Continue in blocks of ~40; roster status column tracks progress,Resolved
QA-080,Convention,Low,Italy,6 destination-vs-postal cases in batch 2,"MICHELIN city vs postal municipality: Capri Palace Jumeirah (Capri / Anacapri), Mediterraneo Sorrento (Sorrento / Sant’Agnello), Villa Fontelunga (Foiano della Chiana / Pozzo della Chiana), Cascioni Eco Retreat (Costa Smeralda / Arzachena), San Luis Retreat (Avelengo / Hafling), Goldene Rose Karthaus (Schnals / Senales). MICHELIN city retained; native address kept. Bilingual South Tyrol names (Avelengo/Hafling, Schnals/Senales) are a new variant of this pattern.",Covered by the planned destination/postal field,Open
QA-081,Coverage,High,Italy,Zero restaurant links across 60 Italian hotels,"Neither Italian batch produced a single hotel-restaurant link. The restaurant table holds 12 Italian rows; 43 of the 144 MICHELIN hotel cards name a restaurant (Glicine, Zass, Arva, Imàgo, La Sponda, L’Olivo, Al Gatto Verde, Saporium and others). For Spain the ratio is 3 matches out of 39 named restaurants against 8 stored rows.",Decide before launch whether the restaurant table extends to one-star; Italy and Spain hold the bulk of the missing relationships,Open
QA-082,Convention,Low,Italy,5 further destination-vs-postal cases,"MICHELIN city vs postal municipality in batch 3: Castello di Vicarello (Cinigiano / Poggi del Sasso), Villa La Massa (Florence / Candeli), Corte della Maestà (Civita di Bagnoregio / Civita), Wine Relais Feudi del Pisciotto (Niscemi, contrada address), Donna Coraly (Syracuse, contrada address). Also note Google lists Corte della Maestà under an English translation, ""Court of Majesty - Ancient Residence""; MICHELIN name retained.",Covered by the planned destination/postal field,Open
QA-083,Coverage,High,Italy,Italy complete at 144 hotels with zero restaurant links,"All 144 Italian Key hotels are imported and not one produced a hotel-restaurant link. The restaurant table holds 12 Italian rows and none share an address with these hotels. Notably Villa Crespi is in the database as a hotel while its two-star restaurant of the same name is absent, and the same applies to Signum, Don Carlos, Rossellinis, Saporium, Due Camini, La Sponda, L’Olivo, Imàgo, Zass, Arva and Glicine — 43 of the 144 cards name a restaurant.",Extend the restaurant table to Italian one- and two-star before launch; this is now the single largest gap in the database,Open
QA-084,Link confidence,Medium,Spain,hotel_482 Monument Hotel → rest_0058 Lasarte,"Linked manually. Address matching fails because Monument Hotel occupies a corner building with two street frontages — Passeig de Gracia 75 for the hotel, Carrer de Mallorca 259 for the restaurant. The MICHELIN hotel card names Lasarte directly, which settles it. This is a new failure mode for the matcher: correct addresses on both sides that simply differ.","During QA, re-check other city-centre hotels for the same two-frontage pattern",Open
QA-085,Data error,Medium,Spain,Atrio Restaurante Hotel Place ID points at the restaurant,"Searching Atrio returned ""Atrio Cáceres"" with types fine_dining_restaurant and bar — no hotel type — at Plaza San Mateo 1. Atrio is a single property combining a three-star restaurant and a three-Key hotel, so no separate hotel record appears to exist. Imported with this Place ID as hotel_480. Sixth occurrence of the restaurant-outranks-hotel pattern (QA-040, QA-050, QA-058, QA-072, QA-076).",Confirm whether a hotel-level Place ID exists; note the restaurant is expected to link here once addresses align,Open
QA-086,Coverage,High,Spain,"Only 8 Spanish restaurant rows, 3 of which are reachable","The stored Spanish restaurants are ABAC (Av. Tibidabo 1), Deesa, DiverXO, Lasarte, Moments (Passeig de Gracia 38), Asador Etxebarri, Elkano and Enigma. Of these only ABAC, Lasarte and Moments sit inside a Key hotel in this roster. The other 36 restaurants named on Spanish MICHELIN hotel cards are absent.",Extend the Spanish restaurant table to one- and two-star before launch,Open
QA-087,Data error,Low,Spain,rest_0067 Moments star count,"REVISED. Moments does NOT appear in the Two-Star list of The MICHELIN Guide Spain & Andorra 2026. Barcelona holds five Two-Star restaurants that year (Aleia, Cinc Sentits, Enigma, Enoteca Paco Perez, Mont Bar) and Moments is not among them. The stored value of 1 star is therefore plausibly current rather than wrong; the earlier concern was based on its historic two-star status.",Confirm current status on the MICHELIN restaurant page; no change made,Open
QA-088,Data error,Medium,Spain,ABaC Place ID points at the restaurant,"Searching ABaC returned ""Restaurant ABaC"", type fine_dining_restaurant, at Avinguda del Tibidabo 1. As with Atrio, ABaC is a single property combining restaurant and hotel and no separate hotel record appears to exist. Imported as hotel_537. Seventh occurrence of the restaurant-outranks-hotel pattern.",Confirm whether a hotel-level Place ID exists,Open
QA-089,Inconsistent spelling,Low,Spain,rest_0042 Deesa,"Stored as ""Deesa""; MICHELIN writes ""Deessa"" (double s). The restaurant sits in the Mandarin Oriental Ritz Madrid, already imported as hotel_540. The spelling difference means a name-based match against the roster fails.",Rename to Deessa and link to hotel_540,Open
QA-090,Completeness,Low,Italy,29 Italian two-star names not yet captured,"UPDATE: the published Italian two-star list has been sourced and 36 of the 38 names read off it directly. Together with Tre Olivi (Paestum), confirmed two-star from an earlier MICHELIN article, 37 of 38 are now captured and imported. One name has never appeared in any retrieved fragment; the published list came through with an alphabetical gap between Oppeano and Ragusa.",Identify the single remaining two-star restaurant against the MICHELIN site,Open
QA-091,Source confidence,Medium,Spain,6 two-star entries restored from an alphabetical gap,"The published list was retrieved in fragments and cities C to E were missing. Voro (Canyamel), L’Escaleta (Cocentaina), Bo.TiC (Corca), Venta Moncalvillo (Daroca de Rioja), Amelia by Paulo Airaudo (San Sebastian) and Ambivium (Penafiel) were restored from the prior-year list. The count then closes at exactly 37, which is the published figure, but each still needs individual confirmation.",Verify these six against MICHELIN before import; flagged in the roster column list_source,Open
