field,claim,source_type,source_url,classification,publication_safe,notes
parkheuvel_provenance_original_website_claim,"'Vanuit mijn jeugd en ervaring bij het tweesterren restaurant Parkheuvel' (from my youth and experience at the two-star restaurant Parkheuvel)",official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,N/A,"Historical record only -- this was the original single first-party source (Step 2A), before direct chef confirmation was obtained in Step 2B. Preserved for the audit trail; superseded as the basis for publication by the DIRECTLY_CONFIRMED_BY_CHEF row above. WebSearch for 'Lucas de Jager' + Parkheuvel found no independent third-party corroboration either way -- Parkheuvel's own published sommelier history (De RestaurantKrant, ChefsFriends) names Jean Luc Etienne, Jaco van Hensbergen, and current sommelier Nick Van Den Heuvel, never Lucas de Jager -- consistent with a front-of-house/service role never being the subject of that specific press coverage, not a contradiction."
de_rooi_pannen_education,"Institution: De Rooi Pannen. Program: Horeca Ondernemend Management.",user_supplied,,USER_CONFIRMED,YES,"Step 2B. Directly confirmed by Lucas. Degree level, diploma type, graduation year, campus, city, honours, and qualification equivalence are all deliberately left unknown/null -- none of these were independently confirmed, and none is inferred just to make the row fuller."
personalization_evidence,"'Vooraf inventariseren we alle dieetwensen en allergieën' (dietary needs and allergies are inventoried in advance to customize each guest's plate)",official_website,https://jagers-catering.nl/veelgestelde-vragen/,VERIFIED_PRIMARY,YES,"Official, general service description -- distinct from the user's private personal anecdote, which is USER_SUPPLIED_INTERNAL and not used as public copy (see below)."
user_experience_personalization,"User's own account: the dinner adapted very well to the host's wishes",user_supplied,,USER_SUPPLIED_INTERNAL,NO,"Valid internal curation input (first-hand quality signal). Not itself publishable as factual marketing copy without permission/context -- the public personalization_note instead uses the official FAQ language above."
user_experience_food_wine_quality,"User's own account: food and wine were excellent",user_supplied,,USER_SUPPLIED_INTERNAL,NO,"Valid internal curation input supporting the decision to curate this chef at all. Not used to set any specific public field value on its own (e.g. does not by itself justify wine_pairing_available, which is independently verified above)."
guest_range,"Not stated anywhere found (homepage, ons-concept, FAQ, wijn-arrangement)",official_website,https://jagers-catering.nl,NOT_FOUND,N/A,"minimum_guests/maximum_guests left null -- no explicit group-size statement found."
pricing,"Not stated anywhere found; only a per-km travel surcharge (EUR 0.35/km) is public",official_website,https://jagers-catering.nl/veelgestelde-vragen/,NOT_FOUND,N/A,"No per-person or package pricing published. price_on_request proposed true."
languages,"Site is Dutch-language only; no explicit language-capability statement found",official_website,https://jagers-catering.nl,NOT_FOUND,N/A,"Left null -- Dutch is NOT inferred from the site's own language or from the country, per explicit instruction not to infer this."
website_url,https://jagers-catering.nl,official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Canonical root domain."
instagram_url,https://www.instagram.com/jagerscatering/,official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Linked from the site's own social icon; handle also visible directly (not scraped/feed-imported, link only)."
profile_image_url,"No rights-cleared image asset exists in this repository",n/a,,NOT_FOUND,N/A,"Left null. A portrait must be obtained with explicit rights clearance directly from Lucas/Jagers Catering before this is populated -- not sourced from the website or Instagram without permission."
canonical_restaurant_match,"Parkheuvel, Rotterdam, NL, 2 Michelin stars, status=open, restaurant_code=rest_0079, id=90d2b4ae-2b39-4bed-beec-31d6008a7ea8",production_database,supabase,VERIFIED_PRIMARY,N/A,"Unique, unambiguous canonical match confirmed live against public.restaurants + public.cities immediately before this report. Re-confirmed unchanged in Step 2B immediately before apply. This resolves WHICH Parkheuvel exists in the catalogue -- it does NOT independently verify THAT Lucas worked there (a separate, unmet evidentiary question, see parkheuvel_provenance above)."
profile_permission,"User has confirmed Lucas de Jager has agreed to his profile being included in Chasing Stars",user_supplied,,USER_SUPPLIED_INTERNAL,YES (for inclusion decision only),"Step 2B. This is general permission to be included -- it is NOT a re-confirmation of the specific Parkheuvel employment claim (see parkheuvel_provenance, which remains unresolved -- general inclusion permission does not retroactively verify a separate, specific factual claim). No formal legal consent language is recorded here, only this plain confirmation, per explicit task instruction."
photography_permission,"Not granted -- no specific images have been approved for use",user_supplied,,NOT_FOUND,NO,"Step 2B. Explicitly distinct from profile_permission above. No image files exist anywhere in this repository for Lucas/Jagers Catering (confirmed by repository search immediately before this task's apply step) -- profile_image_url and private_chef_photos both remain empty; the existing placeholder/avatar fallback is expected and correct until specific images are supplied and rights-cleared."
