hotel_code,name,field,current_value,proposed_value,evidence_source,confidence,status
hotel_26,Hotel Vier Jahreszeiten,michelin_url,,https://guide.michelin.com/en/hotels-stays/hamburg/fairmont-hotel-vier-jahreszeiten-12464,"MICHELIN Guide hotel page, confirmed via WebSearch snippet 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_26,Hotel Vier Jahreszeiten,booking_url,,https://hvj.de/en/book-now.html,"Hotel's own dedicated booking domain (hvj.de), confirmed via WebSearch 2026-08-07",medium,proposed
hotel_27,The Fontenay,website_url,,https://www.thefontenay.com/en/,"Official hotel website, confirmed via WebSearch 2026-08-07",high,proposed
hotel_27,The Fontenay,booking_url,,https://booking.thefontenay.com/,"Official hotel booking engine subdomain, confirmed via WebSearch 2026-08-07",high,proposed
hotel_28,Althoff Seehotel Überfahrt,website_url,,https://www.althoffcollection.com/en/althoff-seehotel-ueberfahrt,"Official hotel website (Althoff Collection group site), confirmed via WebSearch 2026-08-07",medium,proposed
hotel_28,Althoff Seehotel Überfahrt,michelin_url,,https://guide.michelin.com/en/hotels-stays/rottach-egern/althoff-seehotel-uberfahrt-6183,"MICHELIN Guide hotel page, confirmed via WebSearch 2026-08-07 (multiple locale mirrors found, direct fetch blocked HTTP 403)",medium,proposed
hotel_28,Althoff Seehotel Überfahrt,booking_url,,https://www.althoffcollection.com/en/althoff-seehotel-ueberfahrt/direct-booking-benefits,"Official hotel website direct-booking page, confirmed via WebSearch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (marketing/benefits page, no confirmed booking widget or form) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_29,Rosewood Schloss Fuschl,website_url,,https://www.rosewoodhotels.com/en/schloss-fuschl-salzburg,"Official Rosewood brand website for the hotel, confirmed via WebSearch 2026-08-07",high,proposed
hotel_29,Rosewood Schloss Fuschl,michelin_url,,https://guide.michelin.com/en/hotels-stays/hof-bei-salzburg/rosewood-schloss-fuschl-13887,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_29,Rosewood Schloss Fuschl,booking_url,,https://www.rosewoodhotels.com/en/schloss-fuschl-salzburg/reservations/room-booking,"Official hotel website room booking page, confirmed via WebSearch 2026-08-07",high,proposed
hotel_30,Hotel Sacher Wien,website_url,,https://www.sacher.com/en/vienna/,"Official hotel website, confirmed via WebSearch 2026-08-07",high,proposed
hotel_30,Hotel Sacher Wien,michelin_url,,https://guide.michelin.com/en/hotels-stays/vienna/hotel-sacher-wien-6301,"MICHELIN Guide hotel page, confirmed via WebSearch 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_30,Hotel Sacher Wien,booking_url,,https://www.sacher.com/en/vienna/,"Official hotel website; a dedicated booking subdomain/path was not found, booking is via widget on the main hotel page, confirmed via WebSearch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified B (confirmed booking widget present) - kept as proposed per booking_url_classification.csv.",low,proposed
hotel_49,Grand Resort Bad Ragaz,website_url,,https://www.resortragaz.ch/en/,"Official hotel website, confirmed via WebSearch 2026-08-07",high,proposed
hotel_49,Grand Resort Bad Ragaz,michelin_url,,https://guide.michelin.com/en/hotels-stays/Bad-Ragaz/grand-resort-bad-ragaz-12501,"MICHELIN Guide hotel page, confirmed via WebSearch 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_49,Grand Resort Bad Ragaz,booking_url,,https://www.resortragaz.ch/en/offers,"Official hotel website offers/booking page; a single dedicated 'book now' URL was not isolated, confirmed via WebSearch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (generic offers/packages page, no confirmed booking widget) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_50,Hotel Les Trois Rois,website_url,,https://www.lestroisrois.com/en/,"Official hotel website, confirmed via WebSearch 2026-08-07",high,proposed
hotel_50,Hotel Les Trois Rois,michelin_url,,https://guide.michelin.com/en/hotels-stays/basel/hotel-les-trois-rois-6395,"MICHELIN Guide hotel page, confirmed via WebSearch 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_51,Bürgenstock Resort,website_url,,https://burgenstockresort.com/en/,"Official hotel website (buergenstock.ch redirects here), confirmed via WebFetch 2026-08-07",high,proposed
hotel_51,Bürgenstock Resort,michelin_url,,https://guide.michelin.com/en/hotels-stays/burgenstock/burgenstock-9744,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_51,Bürgenstock Resort,booking_url,,https://burgenstockresort.com/en/hotel/burgenstock#/booking/destination/step-1,"Official hotel website 'Book Now' deep link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_52,Beau-Rivage Geneva,website_url,,https://www.beau-rivage.com/en,"Official hotel website (beau-rivage.ch redirects here), confirmed via WebFetch 2026-08-07",high,proposed
hotel_52,Beau-Rivage Geneva,michelin_url,,https://guide.michelin.com/en/hotels-stays/geneva/beau-rivage-geneva-9048,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_52,Beau-Rivage Geneva,booking_url,,https://www.beau-rivage.com/en/#/booking/step-1,"Official hotel website 'Book Now' deep link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_53,"The Woodward, Auberge Collection",website_url,,https://auberge.com/the-woodward/,"Official Auberge Resorts Collection website for the hotel, confirmed via WebSearch/WebFetch snippet 2026-08-07 (direct fetch of auberge.com blocked, HTTP 403)",medium,proposed
hotel_53,"The Woodward, Auberge Collection",booking_url,,https://auberge.com/the-woodward/stay/,"Official website accommodations/booking entry page; a dedicated booking-engine URL was not independently confirmed, per WebFetch/WebSearch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (generic 'stay' informational page, no confirmed booking widget) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_54,The Alpina Gstaad,website_url,,https://www.thealpinagstaad.ch/en,"Official hotel website, confirmed via WebFetch 2026-08-07",high,proposed
hotel_54,The Alpina Gstaad,booking_url,,https://be.synxis.com/?Hotel=56809&template=rSIRTA&shell=rSIRTA&locale=en-US,"Official hotel website 'Check availability' booking-engine link (Synxis reservation platform), confirmed via WebFetch 2026-08-07",high,proposed
hotel_55,Badrutt's Palace Hotel,website_url,,https://www.badruttspalace.com/en/,"Official hotel website, confirmed via WebSearch 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_55,Badrutt's Palace Hotel,booking_url,,https://www.badruttspalace.com/en/,"Official hotel homepage; a dedicated booking-engine subpage was not independently confirmed, per WebSearch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (plain homepage, no confirmed booking mechanism) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_56,Carlton Hotel St. Moritz,website_url,,https://www.tschuggencollection.ch/en/hotel/carlton-hotel,"Official hotel website (Tschuggen Collection group site); page footer displays MICHELIN 3 Keys badge, confirmed via WebFetch 2026-08-07",high,proposed
hotel_56,Carlton Hotel St. Moritz,michelin_url,,https://guide.michelin.com/en/hotels-stays/st-moritz/carlton-hotel-st-moritz-6969,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_56,Carlton Hotel St. Moritz,booking_url,,https://tschuggencollection.ch/en/hotel/carlton-hotel/booking?lang=en,"Official hotel website 'Book' link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_57,Baur au Lac,website_url,,https://www.bauraulac.ch/en/home.html,"Official hotel website, confirmed via WebFetch 2026-08-07",high,proposed
hotel_57,Baur au Lac,michelin_url,,https://guide.michelin.com/en/hotels-stays/zurich/baur-au-lac-6394,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_57,Baur au Lac,booking_url,,https://www.bauraulac.ch/en/home.html,"Official hotel homepage carries an embedded 'Book now' widget; a distinct booking-engine URL was not isolated, confirmed via WebFetch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified B (confirmed embedded booking widget) - kept as proposed per booking_url_classification.csv.",low,proposed
hotel_480,Atrio Restaurante Hotel,website_url,,https://www.atriocaceres.com/en/,"Official hotel website, confirmed via WebFetch 2026-08-07",high,proposed
hotel_480,Atrio Restaurante Hotel,michelin_url,,https://guide.michelin.com/en/hotels-stays/caceres-1/atrio-restaurante-hotel-6598,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_480,Atrio Restaurante Hotel,booking_url,,https://reservas.atriocaceres.com/en/hotel/atriocaceres,"Official hotel website dedicated hotel-reservation subdomain, confirmed via WebFetch 2026-08-07",high,proposed
hotel_484,Abadía Retuerta LeDomaine,website_url,,https://abadia-retuerta.com/en/,"Official hotel website, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",medium,proposed
hotel_484,Abadía Retuerta LeDomaine,michelin_url,,https://guide.michelin.com/en/hotels-stays/valladolid2/abadia-retuerta-ledomaine-10200,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_484,Abadía Retuerta LeDomaine,booking_url,,https://abadia-retuerta.com/en/hotel/rooms/,"Official hotel website rooms/booking page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",medium,proposed
hotel_491,Terra Dominicata - Hotel & Winery,website_url,,https://www.terradominicata.com/,"Official hotel website, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",medium,proposed
hotel_491,Terra Dominicata - Hotel & Winery,michelin_url,,https://guide.michelin.com/en/hotels-stays/tarragona/terra-dominicata-hotel-winery-8962,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_540,"Mandarin Oriental Ritz, Madrid",website_url,,https://www.mandarinoriental.com/en/madrid/hotel-ritz,"Official Mandarin Oriental brand website for the hotel, confirmed via WebFetch 2026-08-07",high,proposed
hotel_540,"Mandarin Oriental Ritz, Madrid",michelin_url,,https://guide.michelin.com/en/hotels-stays/madrid/hotel-ritz-5865,"MICHELIN Guide hotel page (listed as 'Hotel Ritz'), confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_540,"Mandarin Oriental Ritz, Madrid",booking_url,,https://www.mandarinoriental.com/en/madrid/hotel-ritz/stay,"Official hotel website 'Stay' booking section, confirmed via WebFetch 2026-08-07",medium,proposed
hotel_320,Il San Pietro di Positano,website_url,,http://www.ilsanpietro.com/,"Official hotel website (ilsanpietro.it redirects here), confirmed via WebFetch 2026-08-07",high,proposed
hotel_320,Il San Pietro di Positano,michelin_url,,https://guide.michelin.com/en/hotels-stays/positano/il-san-pietro-di-positano-7453,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_320,Il San Pietro di Positano,booking_url,,http://www.ilsanpietro.com/#/booking/step-1,"Official hotel website 'Book Now' deep link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_328,Aman Venice,website_url,,https://www.aman.com/hotels/aman-venice,"Official Aman brand website for the hotel, confirmed via WebFetch 2026-08-07",high,proposed
hotel_328,Aman Venice,michelin_url,,https://guide.michelin.com/en/hotels-stays/venice/aman-venice-7277,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_328,Aman Venice,booking_url,,https://www.aman.com/aman/reservation?locale=en&chain=16840&hotel=62478&currency=EUR,"Official hotel website 'Book now' reservation-engine deep link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_338,Reschio Hotel,website_url,,https://www.reschio.com/hotel,"Official hotel website, confirmed via WebFetch 2026-08-07",high,proposed
hotel_338,Reschio Hotel,michelin_url,,https://guide.michelin.com/en/hotels-stays/lisciano-niccone/reschio-hotel-12069,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_338,Reschio Hotel,booking_url,,https://reservations.reschio.com/110281,"Official hotel website dedicated hotel-room booking link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_346,Casa Maria Luigia,website_url,,https://www.casamarialuigia.com/en/,"Official hotel website, confirmed via WebFetch 2026-08-07",high,proposed
hotel_346,Casa Maria Luigia,michelin_url,,https://guide.michelin.com/en/hotels-stays/Modena/casa-maria-luigia-13611,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_346,Casa Maria Luigia,booking_url,,https://casamarialuigia.com/reservations/,"Official hotel website reservations page, confirmed via WebFetch 2026-08-07",high,proposed
hotel_370,J.K. Place Capri,website_url,,https://www.jkplaces.com/jkcapri/,"Official hotel website (jkcapri.com redirects here), confirmed via redirect chain WebFetch 2026-08-07 (direct content fetch of jkplaces.com blocked, HTTP 403)",medium,proposed
hotel_370,J.K. Place Capri,michelin_url,,https://guide.michelin.com/en/hotels-stays/capri/jk-place-capri-2071,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_455,Borgo Santo Pietro,website_url,,https://borgosantopietro.com/,"Official hotel website, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",high,proposed
hotel_455,Borgo Santo Pietro,michelin_url,,https://guide.michelin.com/en/hotels-stays/chiusdino/borgo-santo-pietro-7004,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_455,Borgo Santo Pietro,booking_url,,https://be.synxis.com/?chain=24447&hotel=32505&locale=en-US,"Official hotel website booking engine (Synxis platform, chain/hotel IDs read directly from borgosantopietro.com/hotel/), confirmed via WebFetch 2026-08-07; booking itself is triggered via an on-page modal rather than a static link, so this base reservation-engine URL is a medium-confidence proposal",medium,proposed
hotel_643,HOTEL THE MITSUI KYOTO,website_url,,https://www.hotelthemitsui.com/en/kyoto/,"Official hotel website (same domain as the hotel's own 2024-07-04 Michelin Key press release), confirmed via WebFetch of DuckDuckGo search results 2026-08-07",high,proposed
hotel_643,HOTEL THE MITSUI KYOTO,michelin_url,,https://guide.michelin.com/en/hotels-stays/kyoto-prefecture/the-mitsui-kyoto-11869,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_643,HOTEL THE MITSUI KYOTO,booking_url,,https://www.hotelthemitsui.com/en/kyoto/,"Official hotel homepage; a dedicated booking-engine subpage was not independently confirmed, per WebFetch of DuckDuckGo search results 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (plain homepage, no confirmed booking mechanism) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_647,Bvlgari Hotel Tokyo,website_url,,https://www.bulgarihotels.com/en_US/tokyo,"Official Bvlgari brand website for the hotel, confirmed via WebFetch 2026-08-07",high,proposed
hotel_647,Bvlgari Hotel Tokyo,michelin_url,,https://guide.michelin.com/en/hotels-stays/tokyo/bvlgari-hotel-tokyo-13107,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_647,Bvlgari Hotel Tokyo,booking_url,,https://www.bulgarihotels.com/en_US/tokyo,"Official hotel homepage carries an embedded 'Find your stay' booking widget; a distinct booking-engine URL was not isolated, confirmed via WebFetch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified B (confirmed embedded booking widget) - kept as proposed per booking_url_classification.csv.",low,proposed
hotel_659,Four Seasons Hotel Tokyo at Otemachi,website_url,,https://www.fourseasons.com/otemachi/,"Official Four Seasons brand website for the hotel, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of fourseasons.com blocked, HTTP 403)",medium,proposed
hotel_659,Four Seasons Hotel Tokyo at Otemachi,michelin_url,,https://guide.michelin.com/en/hotels-stays/tokyo/four-seasons-hotel-tokyo-at-otemachi-12943,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_659,Four Seasons Hotel Tokyo at Otemachi,booking_url,,https://www.fourseasons.com/otemachi/reservations/,"Standard Four Seasons brand reservations sub-path pattern; not independently confirmed by direct fetch (fourseasons.com blocked, HTTP 403) | VERIFICATION PASS 2026-08-07: classified D (URL is a guessed brand-standard path pattern, NOT independently confirmed - fourseasons.com blocked the fetch). Downgraded to unresolved per booking_url_classification.csv.",low,unresolved
hotel_665,Gora Kadan,website_url,,https://www.gorakadan.com/hakone/?lang=en,"Official hotel website, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",high,proposed
hotel_665,Gora Kadan,michelin_url,,https://guide.michelin.com/en/hotels-stays/hakone/gora-kadan-64357-2371,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_665,Gora Kadan,booking_url,,https://www.gorakadan.com/hakone/reservation/?lang=en,"Official hotel website reservation page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",high,proposed
hotel_680,Amanemu,website_url,,https://www.aman.com/resorts/amanemu,"Official Aman brand website for the hotel, confirmed via WebFetch 2026-08-07",high,proposed
hotel_680,Amanemu,michelin_url,,https://guide.michelin.com/en/hotels-stays/Shima/amanemu-8553,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_680,Amanemu,booking_url,,https://www.aman.com/aman/reservation?locale=en&chain=16840&hotel=66976&currency=JPY,"Official hotel website 'Book now' / 'Reserve' reservation-engine deep link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_193,Hôtel de Paris Monte-Carlo,website_url,,https://www.montecarlosbm.com/en/hotel-monaco/hotel-paris-monte-carlo,"Official website (Monte-Carlo Société des Bains de Mer group site), confirmed via WebFetch 2026-08-07",high,proposed
hotel_193,Hôtel de Paris Monte-Carlo,michelin_url,,https://guide.michelin.com/en/hotels-stays/monte-carlo/hotel-de-paris-monte-carlo-6872,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_193,Hôtel de Paris Monte-Carlo,booking_url,,https://www.montecarlosbm.com/en/hotel-monaco/hotel-paris-monte-carlo,"Official hotel page carries the primary 'Book' call-to-action; a distinct booking-engine URL was not isolated, confirmed via WebFetch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified B (confirmed primary 'Book' call-to-action on this property page) - kept as proposed per booking_url_classification.csv.",low,proposed
hotel_259,Villa Nai 3.3,website_url,,https://www.villanai.com/,"Official hotel website; page text explicitly references its MICHELIN Keys recognition, confirmed via WebFetch 2026-08-07",high,proposed
hotel_259,Villa Nai 3.3,michelin_url,,https://guide.michelin.com/en/hotels-stays/dugi-otok/villa-nai-33-12045,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_259,Villa Nai 3.3,booking_url,,https://www.villanai.com/,"Official hotel homepage carries an inline reservation form; a dedicated booking-page URL returned HTTP 404 when probed, confirmed via WebFetch 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (plain homepage, dedicated booking page returned HTTP 404) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_186,"Raffles Hotel, Singapore",website_url,,https://www.raffles.com/singapore/,"Official Raffles brand website for the hotel, confirmed via WebFetch 2026-08-07",high,proposed
hotel_186,"Raffles Hotel, Singapore",michelin_url,,https://guide.michelin.com/en/hotels-stays/singapore/raffles-hotel-singapore-7493,"MICHELIN Guide hotel page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_186,"Raffles Hotel, Singapore",booking_url,,https://permalink.raffles.com/booking/search?client=legacy.raffles&hotelCodes=a5e1&nga.enabled=false&languageCode=en,"Official hotel website 'Reserve Your Stay' booking-engine deep link, confirmed via WebFetch 2026-08-07",high,proposed
hotel_50,Hotel Les Trois Rois,booking_url,,https://www.lestroisrois.com/en/,"Official hotel homepage; a dedicated booking-engine subpage was not independently confirmed, per WebFetch of DuckDuckGo search results 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (plain homepage, no confirmed booking mechanism) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_370,J.K. Place Capri,booking_url,,https://www.jkplaces.com/jkcapri/accommodation/,"Official hotel website accommodation/booking entry page (site uses a SynXis backend reservation system); a distinct booking-engine URL was not isolated, confirmed via WebFetch of DuckDuckGo search results 2026-08-07 | VERIFICATION PASS 2026-08-07: classified C (accommodation listing page, SynXis backend inferred but not confirmed on this URL) - reclassified out of booking_url per booking_url_classification.csv.",low,rejected
hotel_491,Terra Dominicata - Hotel & Winery,booking_url,,https://www.terradominicata.com/en/reservar/,"Official hotel website room-reservation page, confirmed via WebFetch of DuckDuckGo search results 2026-08-07",medium,proposed
