year,rank,name_as_listed,country_as_listed,reason,notes,candidate_restaurant_code,candidate_confidence
2002,36,Hotel de Paris,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2002,37,Moulin de Mougin,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.24.,,
2002,38,Ginza Sushiko,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Sushi Sho (New York) at name_sim=0.55.,,
2002,39,Changa,Turkey,unmatched,No adequately similar catalogue candidate in Turkey; closest was Sankai by Nagaya (Istanbul) at name_sim=0.42.,,
2002,40,Michel Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.44.,,
2002,41,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2002,42,Roundwood House,Ireland,unmatched,"Country ""Ireland"" has no restaurants in the catalogue universe.",,
2002,43,The Supper Club,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Spectrum (Amsterdam) at name_sim=0.53.,,
2002,44,Blue Lagoon,Iceland,unmatched,"Country ""Iceland"" has no restaurants in the catalogue universe.",,
2002,45,Bayona,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Hayato (Los Angeles) at name_sim=0.5.,,
2002,46,The Grundel,Hungary,unmatched,No adequately similar catalogue candidate in Hungary; closest was Stand (Budapest) at name_sim=0.33.,,
2002,47,Carnivore,Kenya,unmatched,"Country ""Kenya"" has no restaurants in the catalogue universe.",,
2002,48,Bagatelle,Norway,unmatched,No adequately similar catalogue candidate in Norway; closest was Maaemo (Oslo) at name_sim=0.4.,,
2002,49,Susar,Canada,unmatched,"Country ""Canada"" has no restaurants in the catalogue universe.",,
2003,2,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2003,3,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2003,5,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2003,7,Comme Chez Soi,Belgium,unmatched,No adequately similar catalogue candidate in Belgium; closest was Bozar Restaurant (Brussels) at name_sim=0.21.,,
2003,8,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2003,9,L'Ambroisie,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.38.,,
2003,10,Gramercy Tavern,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.38.,,
2003,11,Michel Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.44.,,
2003,12,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2003,13,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2003,14,The Merchant House,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.32.,,
2003,15,Bocca,Estonia,unmatched,"Country ""Estonia"" has no restaurants in the catalogue universe.",,
2003,16,Sukiyabashi Jiro,Japan,ambiguous,"Closest catalogue candidate rest_0522 (Sukiyabashi Jiro Roppongiten, Tokyo, Japan) name_sim=0.73 city_sim=1.0 — insufficient corroboration to accept.",rest_0522,low
2003,17,Felix,Hong Kong,unmatched,No adequately similar catalogue candidate in Hong Kong; closest was L'Envol (Hong Kong) at name_sim=0.36.,,
2003,18,L'Auberge de l'Ill,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.42.,,
2003,19,Gidleigh Park,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.27.,,
2003,20,Bukhara,India,unmatched,"Country ""India"" has no restaurants in the catalogue universe.",,
2003,21,Paul Boscoe,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.41.,,
2003,22,De Karmeliet,Belgium,unmatched,No adequately similar catalogue candidate in Belgium; closest was De Jonkman (Bruges) at name_sim=0.25.,,
2003,23,Al Mahara,UAE,unmatched,No adequately similar catalogue candidate in United Arab Emirates; closest was Orfali Bros (Dubai) at name_sim=0.4.,,
2003,24,Vincent Guerithault on Camelback,USA,unmatched,No adequately similar catalogue candidate in United States; closest was The Inn at Little Washington (Washington (Virginia)) at name_sim=0.38.,,
2003,25,Thorton's,Ireland,unmatched,"Country ""Ireland"" has no restaurants in the catalogue universe.",,
2003,26,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2003,27,Operakällaren,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.38.,,
2003,28,Eigensinn Farm,Canada,unmatched,"Country ""Canada"" has no restaurants in the catalogue universe.",,
2003,29,Le Manoir aux Quat'Saison,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.22.,,
2003,30,Guy Savoy,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.27.,,
2003,31,The Ivy,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.5.,,
2003,32,The Three Chimneys,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.32.,,
2003,33,Petrus,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.2.,,
2003,34,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2003,36,Bagatelle,Norway,unmatched,No adequately similar catalogue candidate in Norway; closest was Maaemo (Oslo) at name_sim=0.4.,,
2003,37,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2003,39,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2003,41,Flower Drum,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2003,42,The Cliff,Barbados,unmatched,"Country ""Barbados"" has no restaurants in the catalogue universe.",,
2003,43,The Square,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.2.,,
2003,45,1884,Argentina,unmatched,No adequately similar catalogue candidate in Argentina; closest was Don Julio (Buenos Aires) at name_sim=0.0.,,
2003,46,Checchino Dal 1887,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Acquolina (Rome) at name_sim=0.3.,,
2003,47,River Café,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.18.,,
2003,48,New York Grill,Japan,unmatched,No adequately similar catalogue candidate in Japan; closest was Ten Yokota (Tokyo) at name_sim=0.42.,,
2003,49,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2003,50,Carnivore,Kenya,unmatched,"Country ""Kenya"" has no restaurants in the catalogue universe.",,
2004,2,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2004,3,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2004,4,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2004,5,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2004,6,Guy Savoy,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.27.,,
2004,7,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2004,8,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2004,9,Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2004,10,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2004,11,Gramercy Tavern,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.38.,,
2004,12,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2004,13,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2004,14,Hakkasan,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.19.,,
2004,15,The Waterside Inn,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2004,16,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2004,17,L'Ami Louis,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.36.,,
2004,19,Le Gavroche,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2004,20,Flower Drum,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2004,21,The Merchant House,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.32.,,
2004,24,The Ivy,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.5.,,
2004,26,Can Fabes,Spain,closed,Closed 2013 following the 2011 death of chef Santi Santamaria.,,
2004,28,The Cliff,Barbados,unmatched,"Country ""Barbados"" has no restaurants in the catalogue universe.",,
2004,29,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2004,30,Le Manoir aux Quat'Saisons,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.26.,,
2004,31,Al Mahara,UAE,unmatched,No adequately similar catalogue candidate in United Arab Emirates; closest was Orfali Bros (Dubai) at name_sim=0.4.,,
2004,32,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2004,33,Le Jardin des Sens,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.38.,,
2004,34,The Square,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.2.,,
2004,35,Spago,USA,ambiguous,"Closest catalogue candidate rest_0769 (Saga, New York, United States) name_sim=0.67 city_sim=0.19 — insufficient corroboration to accept.",rest_0769,low
2004,36,Bukhara,India,unmatched,"Country ""India"" has no restaurants in the catalogue universe.",,
2004,37,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2004,38,Le Meurice,France,unmatched,No adequately similar catalogue candidate in France; closest was Plénitude (Paris) at name_sim=0.38.,,
2004,39,Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.3.,,
2004,40,Balthazar,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.43.,,
2004,41,River Café,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.18.,,
2004,42,La Tupina,France,unmatched,No adequately similar catalogue candidate in France; closest was Septime (Paris) at name_sim=0.31.,,
2004,43,L'Auberge de l'Ill,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.42.,,
2004,44,Craft,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.4.,,
2004,45,La Tour D'Argent,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.44.,,
2004,46,Le Maison de Marc Veyrat,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.33.,,
2004,47,Felix,Hong Kong,unmatched,No adequately similar catalogue candidate in Hong Kong; closest was L'Envol (Hong Kong) at name_sim=0.36.,,
2004,48,De Karmeliet,Belgium,unmatched,No adequately similar catalogue candidate in Belgium; closest was De Jonkman (Bruges) at name_sim=0.25.,,
2004,49,The Wolseley,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.36.,,
2004,50,Gambero Roso,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Glam Enrico Bartolini (Venice) at name_sim=0.55.,,
2005,1,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2005,2,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2005,4,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2005,5,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2005,6,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2005,8,Tom Aikens,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.27.,,
2005,10,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2005,11,Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2005,12,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2005,13,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2005,14,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2005,15,Gramercy Tavern,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.38.,,
2005,16,Guy Savoy,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.27.,,
2005,17,Alain Ducasse,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.39.,,
2005,18,Sketch,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.27.,,
2005,19,The Waterside Inn,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2005,20,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2005,22,Can Fabes,Spain,closed,Closed 2013 following the 2011 death of chef Santi Santamaria.,,
2005,23,Checchino Dal 1887,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Acquolina (Rome) at name_sim=0.3.,,
2005,24,Le Meurice,France,unmatched,No adequately similar catalogue candidate in France; closest was Plénitude (Paris) at name_sim=0.38.,,
2005,27,The Connaught,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.24.,,
2005,28,Le Manoir aux Quat'Saisons,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.26.,,
2005,29,Le Cinq,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.25.,,
2005,30,Hakkasan,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.19.,,
2005,31,Cal Pep,Spain,unmatched,No adequately similar catalogue candidate in Spain; closest was Aleia (Barcelona) at name_sim=0.5.,,
2005,32,Masa,USA,ambiguous,"Closest catalogue candidate rest_0760 (Aska, New York, United States) name_sim=0.75 city_sim=1.0 — insufficient corroboration to accept.",rest_0760,low
2005,33,Flower Drum,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2005,34,WD~50,USA,closed,Permanently closed 2014 (lease not renewed).,,
2005,35,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2005,36,Spice Market,USA,unmatched,No adequately similar catalogue candidate in United States; closest was César (New York) at name_sim=0.47.,,
2005,37,L'Auberge de l'Ill,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.42.,,
2005,38,Manresa,USA,ambiguous,"Closest catalogue candidate rest_0772 (Alinea, Chicago, United States) name_sim=0.62 city_sim=0.1 — insufficient corroboration to accept.",rest_0772,low
2005,39,Dieter Mueller,Germany,unmatched,No adequately similar catalogue candidate in Germany; closest was Speisemeisterei (Stuttgart) at name_sim=0.41.,,
2005,40,Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.3.,,
2005,41,The Wolseley,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.36.,,
2005,42,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2005,43,Yauatcha,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2005,44,The Ivy,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.5.,,
2005,45,Gambero Rosso,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Glam Enrico Bartolini (Venice) at name_sim=0.53.,,
2005,46,The Cliff,Barbados,unmatched,"Country ""Barbados"" has no restaurants in the catalogue universe.",,
2005,47,Le Gavroche,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2005,49,Felix,Hong Kong,unmatched,No adequately similar catalogue candidate in Hong Kong; closest was L'Envol (Hong Kong) at name_sim=0.36.,,
2005,50,La Tupina,France,unmatched,No adequately similar catalogue candidate in France; closest was Septime (Paris) at name_sim=0.31.,,
2006,1,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2006,2,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2006,3,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2006,5,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2006,6,Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2006,7,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2006,11,Can Fabes,Spain,closed,Closed 2013 following the 2011 death of chef Santi Santamaria.,,
2006,12,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2006,13,Gambero Rosso,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Glam Enrico Bartolini (Venice) at name_sim=0.53.,,
2006,14,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2006,15,Alain Ducasse,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.39.,,
2006,17,Le Cinq,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.25.,,
2006,18,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2006,19,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2006,20,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2006,22,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2006,24,Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.3.,,
2006,25,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2006,26,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2006,27,Le Gavroche,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2006,28,La Colombe,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2006,30,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2006,33,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2006,34,Dieter Mueller,Germany,unmatched,No adequately similar catalogue candidate in Germany; closest was Speisemeisterei (Stuttgart) at name_sim=0.41.,,
2006,35,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2006,36,Hakkasan,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.19.,,
2006,38,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2006,39,Chez Dominique,Finland,unmatched,No adequately similar catalogue candidate in Finland; closest was Palace (Helsinki) at name_sim=0.2.,,
2006,40,L'Ambroisie,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.38.,,
2006,43,Bocuse,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.33.,,
2006,45,Gramercy Tavern,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.38.,,
2006,46,Bukhara,India,unmatched,"Country ""India"" has no restaurants in the catalogue universe.",,
2006,47,De Karmeliet,Belgium,unmatched,No adequately similar catalogue candidate in Belgium; closest was De Jonkman (Bruges) at name_sim=0.25.,,
2006,48,Oaxen Krog,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2006,49,Comme Chez Soi,Belgium,unmatched,No adequately similar catalogue candidate in Belgium; closest was Bozar Restaurant (Brussels) at name_sim=0.21.,,
2006,50,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
