year,rank,list_type,hotel_name,city,country,source_url,source_note
2023,17,top_50,Raffles Hotel Singapore,Singapore,Singapore,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,18,top_50,Nihi Sumba,Sumba,Indonesia,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,19,top_50,Hotel Esencia,Tulum,Mexico,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,20,top_50,Le Sirenuse,Positano,Italy,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,21,top_50,Borgo Egnazia,Savelletri di Fasano,Italy,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,22,top_50,The Connaught,London,United Kingdom,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,23,top_50,Royal Mansour,Marrakech,Morocco,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,24,top_50,Four Seasons Hotel Madrid,Madrid,Spain,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,25,top_50,Aman New York,New York City,United States,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,26,top_50,The Maybourne Riviera,Roquebrune-Cap-Martin,France,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,27,top_50,Rosewood São Paulo,São Paulo,Brazil,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,28,top_50,Capella Singapore,Singapore,Singapore,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,29,top_50,Le Bristol Paris,Paris,France,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,30,top_50,Park Hyatt Kyoto,Kyoto,Japan,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,31,top_50,La Réserve Paris,Paris,France,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,32,top_50,Gleneagles,Auchterarder,United Kingdom,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,33,top_50,Hotel Du Cap-Eden-Roc,Cap d'Antibes,France,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,34,top_50,Cheval Blanc Paris,Paris,France,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,35,top_50,Four Seasons Astir Palace Hotel Athens,Athens,Greece,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,36,top_50,Soneva Jani,Noonu Atoll,Maldives,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,37,top_50,The Newt in Somerset,Castle Cary,United Kingdom,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,38,top_50,Amangalla,Galle,Sri Lanka,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,39,top_50,Hoshinoya Tokyo,Tokyo,Japan,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,40,top_50,Desa Potato Head,Denpasar,Indonesia,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,41,top_50,Eden Rock St Barts,Saint-Jean,St Barts,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,42,top_50,The Siam,Bangkok,Thailand,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,43,top_50,Badrutt's Palace Hotel,St. Moritz,Switzerland,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,44,top_50,Atlantis The Royal,Dubai,United Arab Emirates,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,45,top_50,The Oberoi Amarvilas,Agra,India,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,46,top_50,NoMad London,London,United Kingdom,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,47,top_50,The Savoy,London,United Kingdom,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,48,top_50,Equinox Hotel New York,New York City,United States,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,49,top_50,Six Senses Ibiza,Ibiza,Spain,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,50,top_50,Hôtel de Crillon,Paris,France,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2024,1,top_50,Capella Bangkok,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source (theworlds50best.com) - high confidence
2024,2,top_50,Passalacqua,Lake Como,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,3,top_50,Rosewood Hong Kong,Hong Kong,Hong Kong,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,4,top_50,Cheval Blanc,Paris,France,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,5,top_50,The Upper House,Hong Kong,Hong Kong,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,6,top_50,Raffles Singapore,Singapore,Singapore,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,7,top_50,Aman Tokyo,Tokyo,Japan,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,8,top_50,Soneva Fushi,Maldives,Maldives,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,9,top_50,Atlantis The Royal,Dubai,UAE,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,10,top_50,Nihi Sumba,Sumba Island,Indonesia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,11,top_50,Claridge's,London,UK,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,12,top_50,Mandarin Oriental Bangkok,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,13,top_50,Raffles London at The OWO,London,UK,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,14,top_50,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,15,top_50,Hôtel de Crillon,Paris,France,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,16,top_50,Chablé Yucatán,Chocholá,Mexico,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,17,top_50,Hotel du Cap-Eden-Roc,Antibes,France,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,18,top_50,Maroma,Riviera Maya,Mexico,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,19,top_50,Four Seasons Firenze,Florence,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,20,top_50,Borgo Santandrea,Amalfi,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,21,top_50,Desa Potato Head,Bali,Indonesia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,22,top_50,Bulgari Tokyo,Tokyo,Japan,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,23,top_50,The Lana,Dubai,UAE,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,24,top_50,Rosewood São Paulo,São Paulo,Brazil,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,25,top_50,The Calile,Brisbane,Australia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,26,top_50,The Siam,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,27,top_50,Park Hyatt Kyoto,Kyoto,Japan,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,28,top_50,Mount Nelson,Cape Town,South Africa,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,29,top_50,One&Only Mandarina,Riviera Nayarit,Mexico,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,30,top_50,The Carlyle,New York,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,31,top_50,La Mamounia,Marrakech,Morocco,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,32,top_50,Four Seasons Madrid,Madrid,Spain,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,33,top_50,Capella Singapore,Singapore,Singapore,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,34,top_50,Four Seasons at The Surf Club,Surfside,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,35,top_50,Hotel Bel-Air,Los Angeles,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,36,top_50,Eden Rock,St. Barths,St. Barths,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,37,top_50,Aman New York,New York,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,38,top_50,Royal Mansour,Marrakech,Morocco,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,39,top_50,Amangalla,Galle,Sri Lanka,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,40,top_50,Le Bristol,Paris,France,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,41,top_50,Gleneagles,Auchterarder,UK,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,42,top_50,Castello di Reschio,Lisciano Niccone,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,43,top_50,Suján Jawai,Rajasthan,India,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,44,top_50,Singita – Kruger National Park,Kruger National Park,South Africa,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,45,top_50,Six Senses Zighy Bay,Zighy,Oman,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,46,top_50,The Connaught,London,UK,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,47,top_50,The Brando,Tetiaroa,French Polynesia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,48,top_50,Hotel Esencia,Tulum,Mexico,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,49,top_50,The Tasman,Hobart,Australia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2024,50,top_50,Kokomo Private Island,Yaukuve Levu Island,Fiji,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2024-list.html,Official primary source
2025,1,top_50,Rosewood Hong Kong,Hong Kong,China,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source (current live list page)
2025,2,top_50,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,3,top_50,Capella Bangkok,Bangkok,Thailand,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,4,top_50,Passalacqua,Lake Como,Italy,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,5,top_50,Raffles Singapore,Singapore,Singapore,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,6,top_50,Atlantis The Royal,Dubai,UAE,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,7,top_50,Mandarin Oriental Bangkok,Bangkok,Thailand,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,8,top_50,Chablé Yucatán,Chocholá,Mexico,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,9,top_50,Four Seasons Firenze,Florence,Italy,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,10,top_50,Upper House Hong Kong,Hong Kong,China,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,11,top_50,Copacabana Palace,Rio de Janeiro,Brazil,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,12,top_50,Capella Sydney,Sydney,Australia,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,13,top_50,Royal Mansour,Marrakech,Morocco,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,14,top_50,Mandarin Oriental Qianmen,Beijing,China,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,15,top_50,Bulgari Tokyo,Tokyo,Japan,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,16,top_50,Claridge's,London,UK,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,17,top_50,Four Seasons Astir Palace,Athens,Greece,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,18,top_50,Desa Potato Head,Bali,Indonesia,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,19,top_50,Le Bristol,Paris,France,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,20,top_50,Jumeirah Marsa Al Arab,Dubai,UAE,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,21,top_50,Cheval Blanc Paris,Paris,France,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,22,top_50,Bulgari Roma,Rome,Italy,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,23,top_50,Hôtel de Crillon,Paris,France,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,24,top_50,Rosewood São Paulo,São Paulo,Brazil,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,25,top_50,Aman Tokyo,Tokyo,Japan,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,26,top_50,Hotel Il Pellicano,Porto Ercole,Italy,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,27,top_50,Hôtel du Couvent,Nice,France,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,28,top_50,Soneva Fushi,Maldives,Maldives,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,29,top_50,The Connaught,London,UK,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,30,top_50,La Mamounia,Marrakech,Morocco,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,31,top_50,Raffles London at The OWO,London,UK,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,32,top_50,The Emory,London,UK,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,33,top_50,Maroma,Riviera Maya,Mexico,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,34,top_50,The Calile,Brisbane,Australia,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,35,top_50,The Lana,Dubai,UAE,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,36,top_50,Hôtel de Paris Monte-Carlo,Monaco,Monaco,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,37,top_50,Janu Tokyo,Tokyo,Japan,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,38,top_50,The Taj Mahal Palace,Mumbai,India,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,39,top_50,One&Only Mandarina,Riviera Nayarit,Mexico,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,40,top_50,Singita – Kruger National Park,Kruger National Park,South Africa,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,41,top_50,Mandarin Oriental Hong Kong,Hong Kong,China,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,42,top_50,Hotel Bel-Air,Los Angeles,USA,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,43,top_50,The Mark,New York,USA,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,44,top_50,Las Ventanas al Paraíso,Los Cabos,Mexico,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,45,top_50,The Tokyo Edition Toranomon,Tokyo,Japan,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,46,top_50,Hotel The Mitsui,Kyoto,Japan,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,47,top_50,Estelle Manor,Witney,UK,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,48,top_50,Grand Park Hotel Rovinj,Rovinj,Croatia,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,49,top_50,Hotel Sacher Vienna,Vienna,Austria,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,50,top_50,Mandapa,Bali,Indonesia,https://www.theworlds50best.com/hotels/best-in-the-world/list/1-50,Official primary source
2025,51,extended_51_100,Aman Nai Lert,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,"Official primary source - inaugural extended list, first year this list_type exists"
2025,52,extended_51_100,Badrutt's Palace,St. Moritz,Switzerland,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,53,extended_51_100,Borgo Santandrea,Amalfi,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,54,extended_51_100,The Peninsula Hong Kong,Hong Kong,Hong Kong,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,55,extended_51_100,Four Seasons Tamarindo,La Manzanilla,Costa Rica,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,56,extended_51_100,Nihi Sumba,Sumba Island,Indonesia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,57,extended_51_100,Hotel du Cap-Eden-Roc,Antibes,France,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,58,extended_51_100,Four Seasons at The Surf Club,Surfside,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,59,extended_51_100,Park Hyatt Kyoto,Kyoto,Japan,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,60,extended_51_100,Dusit Thani Bangkok,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,61,extended_51_100,Aman New York,New York,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,62,extended_51_100,Rosewood Bangkok,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,63,extended_51_100,Borgo Egnazia,Savelletri,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,64,extended_51_100,The Carlyle,New York,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,65,extended_51_100,The Beverly Hills Hotel,Los Angeles,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,66,extended_51_100,Four Seasons Madrid,Madrid,Spain,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,67,extended_51_100,Montage Los Cabos,Cabo San Lucas,Mexico,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,68,extended_51_100,San Ysidro Ranch,Santa Barbara,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,69,extended_51_100,Southern Ocean Lodge,Kangaroo Island,Australia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,70,extended_51_100,The Siam,Bangkok,Thailand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,71,extended_51_100,Mandarin Oriental Ritz Madrid,Madrid,Spain,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,72,extended_51_100,Hotel Cipriani,Venice,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,73,extended_51_100,Mount Nelson,Cape Town,South Africa,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,74,extended_51_100,Aman Kyoto,Kyoto,Japan,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,75,extended_51_100,The Fifth Avenue Hotel,New York,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,76,extended_51_100,Hotel das Cataratas,Iguassu Falls,Brazil,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,77,extended_51_100,The Greenwich Hotel,New York,USA,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,78,extended_51_100,Gleneagles,Auchterarder,Scotland,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,79,extended_51_100,Aman Venice,Venice,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,80,extended_51_100,Plaza Athénée,Paris,France,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,81,extended_51_100,Reschio,Lisciano Niccone,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,82,extended_51_100,Casa Maria Luigia,Modena,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,83,extended_51_100,Splendido,Portofino,Italy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,84,extended_51_100,Six Senses Zighy Bay,Zighy Bay,Oman,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,85,extended_51_100,The Datai,Langkawi,Malaysia,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,86,extended_51_100,Four Seasons Hong Kong,Hong Kong,Hong Kong,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,87,extended_51_100,Palacio Nazarenas,Cusco,Peru,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,88,extended_51_100,Huka Lodge,Taupō,New Zealand,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,89,extended_51_100,Ett Hem,Stockholm,Sweden,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
2025,90,extended_51_100,Eden Rock,St. Barths,St. Barthélemy,https://www.theworlds50best.com/stories/News/the-worlds-50-best-hotels-2025-the-51-100-list.html,Official primary source
