hotel_code,name,guide_year,award_type,award_value,is_current,evidence_source,confidence,status
hotel_328,Aman Venice,2024,michelin_keys,3,false,"MICHELIN Guide Italy debut, 7 May 2024, one of 8 Three-Key hotels; named explicitly in Forbes (irenelevine, 2024-05-16) and italiabsolutely.com, retrieved via WebFetch/WebSearch 2026-08-07",medium,proposed
hotel_338,Reschio Hotel,2024,michelin_keys,3,false,"MICHELIN Guide Italy debut, 7 May 2024, one of 8 Three-Key hotels; named explicitly ('Castello di Reschio', Lisciano Niccone) in Forbes (irenelevine, 2024-05-16) and italiabsolutely.com, retrieved via WebFetch/WebSearch 2026-08-07",medium,proposed
hotel_346,Casa Maria Luigia,2024,michelin_keys,3,false,"MICHELIN Guide Italy debut, 7 May 2024, one of 8 Three-Key hotels; named explicitly in Forbes (irenelevine, 2024-05-16) and italiabsolutely.com, retrieved via WebFetch/WebSearch 2026-08-07",medium,proposed
hotel_370,J.K. Place Capri,2024,michelin_keys,3,false,"MICHELIN Guide Italy debut, 7 May 2024, one of 8 Three-Key hotels; named explicitly ('JK Place Capri') in Forbes (irenelevine, 2024-05-16) and italiabsolutely.com, retrieved via WebFetch/WebSearch 2026-08-07",medium,proposed
hotel_455,Borgo Santo Pietro,2025,michelin_keys,3,false,"Gained Three Keys in Italy's 2025 selection; NOT among the 8 Three-Key hotels in the 2024 Italy debut (absent from the confirmed named list per Forbes 2024-05-16 and italiabsolutely.com). guide.michelin.com article titled 'The Dozens of Newly-Added Key Hotels in Italy — Including Five New Three Keys' (2025) names Borgo Santo Pietro as one of five new Three-Key hotels; corroborated by michelinkeyhotels.com, retrieved via WebSearch 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_643,HOTEL THE MITSUI KYOTO,2024,michelin_keys,3,false,"Hotel's own official press release, hotelthemitsui.com/en/kyoto/news/20240704_en/, 'HOTEL THE MITSUI KYOTO Awarded 3 Michelin Keys in Japan's First Michelin Key Hotel Selection', 4 July 2024, retrieved via WebSearch 2026-08-07",high,proposed
hotel_647,Bvlgari Hotel Tokyo,2024,michelin_keys,3,false,"MICHELIN Guide Japan debut, 4 July 2024, named among 6-7 Three-Key hotels in Japan (Bulgari Hotel Tokyo, Tokyo Tower district) per multiple press coverage (travelvoice.jp, latteluxurynews.com), retrieved via WebSearch 2026-08-07",medium,proposed
hotel_659,Four Seasons Hotel Tokyo at Otemachi,2024,michelin_keys,3,false,"MICHELIN Guide Japan debut, 4 July 2024, named among 6-7 Three-Key hotels in Japan per multiple press coverage (travelvoice.jp, latteluxurynews.com), retrieved via WebSearch 2026-08-07",medium,proposed
hotel_665,Gora Kadan,2024,michelin_keys,3,false,"Businesswire press release, 'Gora Kadan Earns a Three Key Rating in the Inaugural Michelin Key List for Asia', 25 July 2024, retrieved via WebSearch 2026-08-07",high,proposed
hotel_680,Amanemu,2024,michelin_keys,3,false,"MICHELIN Guide Japan debut, 4 July 2024, named among Three-Key hotels in Japan (Amanemu, Shima/Mie) per multiple press coverage, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_17,De L'Europe,2025,michelin_keys,3,false,"Netherlands' first-ever MICHELIN Keys selection, unveiled 8 October 2025 at the first global Keys ceremony; De L'Europe received the country's sole Three-Key distinction ('Michelin awards top three-key rating to Amsterdam hotel; 17 Dutch hotels honored', NL Times, 2025-10-11), retrieved via WebSearch 2026-08-07",high,proposed
hotel_193,Hôtel de Paris Monte-Carlo,2024,michelin_keys,3,false,"MICHELIN Guide France & Monaco debut, 8 April 2024; Hôtel de Paris Monte-Carlo confirmed as Monaco's only Three-Key hotel both in 2024 and again in the 2025 global ceremony ('for the second year running... this year, as last year, only 24 hotels in France (and Monaco)...just one hotel in Monaco'), per VisitMonaco official press release and hellomonaco.com, retrieved via WebSearch 2026-08-07",high,proposed
hotel_259,Villa Nai 3.3,2025,michelin_keys,3,false,"Croatia's first-ever MICHELIN Keys selection, unveiled at the October 2025 global ceremony; Villa Nai 3.3 named Croatia's sole Three-Key hotel among 10 Croatian hotels honored (luxuriousmagazine.com; total-croatia-news.com), retrieved via WebSearch 2026-08-07",high,proposed
hotel_186,"Raffles Hotel, Singapore",2025,michelin_keys,3,false,"Singapore's first-ever MICHELIN Keys selection, unveiled at the October 2025 global ceremony; Raffles Hotel Singapore named the first and only Singapore hotel awarded Three Keys, among 7 Singapore hotels honored (alvinology.com 2025-10-22; thepeakmagazine.com.sg), retrieved via WebSearch 2026-08-07",high,proposed
